check_id,patch_id,priority_rank,check_item,is_required,current_status,blocking_reason,how_to_complete,notes
V2AX_PCHK_23d31ebc2086,REC_00183,1,Registrar formato bbox/WKT/GeoJSON,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill source_type.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_a85f6a3d7a08,REC_00183,1,Registrar CRS,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill a verified accepted CRS.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_0e73f2569f23,REC_00183,1,Registrar fonte/proveniencia,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill provenance fields.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_4e67b957e784,REC_00183,1,Registrar licenca,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill license_status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_3cbe3ff3dead,REC_00183,1,Registrar responsavel,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_by.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_05785e83df3c,REC_00183,1,Registrar data de digitalizacao,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_at.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_2624d0fd61be,REC_00183,1,Validar geometria,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Run v2ax validation.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_125da32bf77a,REC_00183,1,Validar que nao e ponto/centroide,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,"Provide area polygon, never centroid.",Checklist does not authorize labels or automatic C4.
V2AX_PCHK_798a2ded2af4,REC_00183,1,Aprovar para v2aw/v2av,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Human review then approved status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_d0d3bb6aef81,REC_00204,1,Confirmar patch_id,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Confirm patch identity against v2aw/v2av.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_9ca84af972a7,REC_00204,1,Obter boundary vetorial real,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Collect real patch boundary.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_6bd3bedb3007,REC_00204,1,Registrar formato bbox/WKT/GeoJSON,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill source_type.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_ac02993a44c7,REC_00204,1,Registrar CRS,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill a verified accepted CRS.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_ed3040c6dce9,REC_00204,1,Registrar fonte/proveniencia,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill provenance fields.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_9fca639dd18e,REC_00204,1,Registrar licenca,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill license_status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_c33038d3758e,REC_00204,1,Registrar responsavel,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_by.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_7633f772696e,REC_00204,1,Registrar data de digitalizacao,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_at.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_6b68370b5c0b,REC_00204,1,Validar geometria,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Run v2ax validation.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_5f371a0743d4,REC_00204,1,Validar que nao e ponto/centroide,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,"Provide area polygon, never centroid.",Checklist does not authorize labels or automatic C4.
V2AX_PCHK_7296634ffce9,REC_00204,1,Aprovar para v2aw/v2av,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Human review then approved status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_e5ecfd3327d2,REC_00205,1,Confirmar patch_id,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Confirm patch identity against v2aw/v2av.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_544e5b644b2f,REC_00205,1,Obter boundary vetorial real,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Collect real patch boundary.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_f51d3a11efe4,REC_00205,1,Registrar formato bbox/WKT/GeoJSON,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill source_type.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_43ff59e60465,REC_00205,1,Registrar CRS,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill a verified accepted CRS.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_b15b8b23e785,REC_00205,1,Registrar fonte/proveniencia,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill provenance fields.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_fd370f19a9b9,REC_00205,1,Registrar licenca,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill license_status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_392dc13f3924,REC_00205,1,Registrar responsavel,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_by.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_7c76a149bd07,REC_00205,1,Registrar data de digitalizacao,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_at.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_cbd2f232231a,REC_00205,1,Validar geometria,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Run v2ax validation.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_59ac794b4a8c,REC_00205,1,Validar que nao e ponto/centroide,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,"Provide area polygon, never centroid.",Checklist does not authorize labels or automatic C4.
V2AX_PCHK_38e4468fbdc7,REC_00205,1,Aprovar para v2aw/v2av,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Human review then approved status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_7f0e2cea10d7,REC_00227,1,Confirmar patch_id,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Confirm patch identity against v2aw/v2av.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_46c90d7690e9,REC_00227,1,Obter boundary vetorial real,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Collect real patch boundary.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_af0091d56df8,REC_00227,1,Registrar formato bbox/WKT/GeoJSON,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill source_type.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_2f9f7004bc65,REC_00227,1,Registrar CRS,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill a verified accepted CRS.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_3bb01e163ece,REC_00227,1,Registrar fonte/proveniencia,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill provenance fields.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_4d7d491b6ba2,REC_00227,1,Registrar licenca,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill license_status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_d085fc206a61,REC_00227,1,Registrar responsavel,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_by.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_e21c1cd6fb8b,REC_00227,1,Registrar data de digitalizacao,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_at.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_83ab279a3536,REC_00227,1,Validar geometria,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Run v2ax validation.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_b436f07e5dd5,REC_00227,1,Validar que nao e ponto/centroide,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,"Provide area polygon, never centroid.",Checklist does not authorize labels or automatic C4.
V2AX_PCHK_6d0a1b3809c0,REC_00227,1,Aprovar para v2aw/v2av,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Human review then approved status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_a4fe2dd037a2,REC_00260,1,Confirmar patch_id,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Confirm patch identity against v2aw/v2av.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_9cbbbc1dca5e,REC_00260,1,Obter boundary vetorial real,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Collect real patch boundary.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_333c5a6b9e4e,REC_00260,1,Registrar formato bbox/WKT/GeoJSON,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill source_type.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_e261fecbd9f3,REC_00260,1,Registrar CRS,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill a verified accepted CRS.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_36c7cd09ceea,REC_00260,1,Registrar fonte/proveniencia,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill provenance fields.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_5e8cb346043b,REC_00260,1,Registrar licenca,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill license_status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_635d130e1abf,REC_00260,1,Registrar responsavel,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_by.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_fdb9665ba62c,REC_00260,1,Registrar data de digitalizacao,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_at.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_9af707f51afe,REC_00260,1,Validar geometria,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Run v2ax validation.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_be3e3dd1a872,REC_00260,1,Validar que nao e ponto/centroide,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,"Provide area polygon, never centroid.",Checklist does not authorize labels or automatic C4.
V2AX_PCHK_a9e6baf69958,REC_00260,1,Aprovar para v2aw/v2av,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Human review then approved status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_2a1c1d35a81e,REC_00276,1,Confirmar patch_id,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Confirm patch identity against v2aw/v2av.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_39de11440b05,REC_00276,1,Obter boundary vetorial real,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Collect real patch boundary.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_b051a35e0dcc,REC_00276,1,Registrar formato bbox/WKT/GeoJSON,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill source_type.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_a3489f9405db,REC_00276,1,Registrar CRS,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill a verified accepted CRS.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_a5a9770088f9,REC_00276,1,Registrar fonte/proveniencia,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill provenance fields.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_24603b8524f0,REC_00276,1,Registrar licenca,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill license_status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_abc1febd767f,REC_00276,1,Registrar responsavel,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_by.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_d90936a4f6bf,REC_00276,1,Registrar data de digitalizacao,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_at.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_80249d601a66,REC_00276,1,Validar geometria,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Run v2ax validation.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_80bb9b6ecec9,REC_00276,1,Validar que nao e ponto/centroide,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,"Provide area polygon, never centroid.",Checklist does not authorize labels or automatic C4.
V2AX_PCHK_1a341bb84304,REC_00276,1,Aprovar para v2aw/v2av,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Human review then approved status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_0077a1aca63e,REC_00279,1,Confirmar patch_id,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Confirm patch identity against v2aw/v2av.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_b28ba93ebb38,REC_00279,1,Obter boundary vetorial real,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Collect real patch boundary.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_1b8398e5b67a,REC_00279,1,Registrar formato bbox/WKT/GeoJSON,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill source_type.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_25116b2c77eb,REC_00279,1,Registrar CRS,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill a verified accepted CRS.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_bdc956305973,REC_00279,1,Registrar fonte/proveniencia,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill provenance fields.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_afc0e61502ed,REC_00279,1,Registrar licenca,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill license_status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_7152400dd87a,REC_00279,1,Registrar responsavel,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_by.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_25105b4ae080,REC_00279,1,Registrar data de digitalizacao,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_at.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_2363c297380f,REC_00279,1,Validar geometria,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Run v2ax validation.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_0867265ecc25,REC_00279,1,Validar que nao e ponto/centroide,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,"Provide area polygon, never centroid.",Checklist does not authorize labels or automatic C4.
V2AX_PCHK_eb713a71d22e,REC_00279,1,Aprovar para v2aw/v2av,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Human review then approved status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_6be6d66f737d,REC_00289,1,Confirmar patch_id,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Confirm patch identity against v2aw/v2av.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_ccd3a4f34951,REC_00289,1,Obter boundary vetorial real,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Collect real patch boundary.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_98675c89a195,REC_00289,1,Registrar formato bbox/WKT/GeoJSON,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill source_type.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_58ca136c12d4,REC_00289,1,Registrar CRS,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill a verified accepted CRS.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_88425a8acdaa,REC_00289,1,Registrar fonte/proveniencia,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill provenance fields.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_e8f5c0d38c96,REC_00289,1,Registrar licenca,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill license_status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_bf0ec56bad8f,REC_00289,1,Registrar responsavel,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_by.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_7ece698efeff,REC_00289,1,Registrar data de digitalizacao,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_at.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_8936c5cffde1,REC_00289,1,Validar geometria,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Run v2ax validation.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_077c88ed7ed2,REC_00289,1,Validar que nao e ponto/centroide,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,"Provide area polygon, never centroid.",Checklist does not authorize labels or automatic C4.
V2AX_PCHK_38bded2ad97d,REC_00289,1,Aprovar para v2aw/v2av,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Human review then approved status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_fc674c156c39,REC_00290,1,Confirmar patch_id,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Confirm patch identity against v2aw/v2av.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_4ca8f44bec06,REC_00290,1,Obter boundary vetorial real,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Collect real patch boundary.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_de2975814c22,REC_00290,1,Registrar formato bbox/WKT/GeoJSON,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill source_type.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_0f939a9ebb18,REC_00290,1,Registrar CRS,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill a verified accepted CRS.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_95f9d84b28ee,REC_00290,1,Registrar fonte/proveniencia,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill provenance fields.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_8d10f067aaf2,REC_00290,1,Registrar licenca,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill license_status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_19fc930b058b,REC_00290,1,Registrar responsavel,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_by.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_61802e991d53,REC_00290,1,Registrar data de digitalizacao,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_at.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_dc1dc190f5d9,REC_00290,1,Validar geometria,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Run v2ax validation.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_86f547e4a606,REC_00290,1,Validar que nao e ponto/centroide,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,"Provide area polygon, never centroid.",Checklist does not authorize labels or automatic C4.
V2AX_PCHK_c512e1ea1a9a,REC_00290,1,Aprovar para v2aw/v2av,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Human review then approved status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_ded6ca2573b1,REC_00291,1,Confirmar patch_id,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Confirm patch identity against v2aw/v2av.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_1f26bce7ff19,REC_00291,1,Obter boundary vetorial real,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Collect real patch boundary.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_ba0065b5af57,REC_00291,1,Registrar formato bbox/WKT/GeoJSON,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill source_type.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_da4627496f3c,REC_00291,1,Registrar CRS,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill a verified accepted CRS.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_5657297c8c0e,REC_00291,1,Registrar fonte/proveniencia,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill provenance fields.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_5bae2bf4ad27,REC_00291,1,Registrar licenca,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill license_status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_48bbd37e01b7,REC_00291,1,Registrar responsavel,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_by.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_666cbf842b17,REC_00291,1,Registrar data de digitalizacao,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_at.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_97cef6db49c1,REC_00291,1,Validar geometria,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Run v2ax validation.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_9e88e11b7f06,REC_00291,1,Validar que nao e ponto/centroide,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,"Provide area polygon, never centroid.",Checklist does not authorize labels or automatic C4.
V2AX_PCHK_1d7808d569cc,REC_00291,1,Aprovar para v2aw/v2av,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Human review then approved status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_b3e756d5faae,REC_00292,1,Confirmar patch_id,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Confirm patch identity against v2aw/v2av.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_cd4b8d35aa71,REC_00292,1,Obter boundary vetorial real,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Collect real patch boundary.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_7c508e7b403e,REC_00292,1,Registrar formato bbox/WKT/GeoJSON,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill source_type.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_6b6f4dd0ea98,REC_00292,1,Registrar CRS,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill a verified accepted CRS.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_4b0d411f3054,REC_00292,1,Registrar fonte/proveniencia,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill provenance fields.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_450d1476fb5a,REC_00292,1,Registrar licenca,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill license_status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_d9d5af8425ba,REC_00292,1,Registrar responsavel,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_by.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_8ef102ea9e32,REC_00292,1,Registrar data de digitalizacao,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_at.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_74d229388550,REC_00292,1,Validar geometria,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Run v2ax validation.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_a9f339c4e239,REC_00292,1,Validar que nao e ponto/centroide,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,"Provide area polygon, never centroid.",Checklist does not authorize labels or automatic C4.
V2AX_PCHK_e9b81f3d2887,REC_00292,1,Aprovar para v2aw/v2av,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Human review then approved status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_4df64a3b7476,REC_00294,1,Confirmar patch_id,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Confirm patch identity against v2aw/v2av.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_63739167e775,REC_00294,1,Obter boundary vetorial real,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Collect real patch boundary.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_fb98ec9a2700,REC_00294,1,Registrar formato bbox/WKT/GeoJSON,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill source_type.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_4c71ab3645c8,REC_00294,1,Registrar CRS,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill a verified accepted CRS.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_bcafd6283b07,REC_00294,1,Registrar fonte/proveniencia,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill provenance fields.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_f22bc3807795,REC_00294,1,Registrar licenca,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill license_status.,Checklist does not authorize labels or automatic C4.
