item_id,regiao,cidade,candidate_event_id,data_evento,tipo_fenomeno,fonte,autoridade_fonte,geometry_id,geometry_type,patch_id,classe_vinculo,possui_footprint_tecnico,possui_fisico,possui_espectral,possui_chuva,qualidade_fonte,qualidade_temporal,qualidade_geometrica,qualidade_vinculo,qualidade_fenomeno,status_referencia_observacional,uso_permitido,ground_truth,eligible_for_training,score_v7_allowed,review_only,not_ground_truth_reason,justificativa_tecnica
S18B_ITEM_0011,PET,Petropolis,S17C_REF_0006,2022-02-24,hydrometeorological_or_unknown,ANEXO-VII-CPRM_Relat¢rio_Petr¢polis_24-02-22_Bairro_Mosella_revisita.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,90,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-02-24 (exact_day); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0012,PET,Petropolis,S17C_REF_0007,2022-02-23,hydrometeorological_or_unknown,ANEXO-V-CPRM_Relat¢rio_Petr¢polis_23-02-22_Rua_Teresa_e_imedia‡äes.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,90,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-02-23 (exact_day); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0013,PET,Petropolis,S17C_REF_0008,2022-03-02,hydrometeorological_or_unknown,ANEXO-XI-CPRM_Petr¢polis_02-03-22_Quitandinha.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,90,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-03-02 (exact_day); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0014,PET,Petropolis,S17C_REF_0009,2022-03-01,hydrometeorological_or_unknown,ANEXO-X-CPRM_Petr¢polis_01-03-22_ServidÆo_Al¡pio_Gomes_da_Costa.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,90,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-03-01 (exact_day); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0015,PET,Petropolis,S17C_REF_0010,2022-02-15,hydrometeorological_or_unknown,"Avaliacao tecnica pos-desastre: Petropolis, RJ",documentary,not_available,none,not_available,same_region_only,false,false,false,false,55,90,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-02-15 (exact_day); fonte documentary; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0016,CUR,Curitiba,S17C_REF_0012,not_available,flood_inundation_alagamento,Mapeamento de areas de alagamento Curitiba,documentary,not_available,none,not_available,same_region_only,false,false,false,false,55,0,10,0,85,bloqueado_sem_data,fila_obtencao_data,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao CUR; fenomeno inundacao_alagamento_enxurrada; data not_available (unknown); fonte documentary; vinculo same_region_only; sem data exata ou intervalo; em fila de obtencao de data
S18B_ITEM_0017,PET,Petropolis,S17C_REF_0013,2022-02-19,hydrometeorological_or_unknown,ANEXO-II-CPRM_Relat¢rio_Petr¢polis_19-02-22_Bairro_Moinho_Preto.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,90,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-02-19 (exact_day); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0018,PET,Petropolis,S17C_REF_0014,2022-02-20,hydrometeorological_or_unknown,ANEXO-III-CPRM_Relat¢rio_Petr¢polis_20-02-22_Bairro_Serra_Velha.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,90,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-02-20 (exact_day); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0019,PET,Petropolis,S17C_REF_0015,2022-02-22,hydrometeorological_or_unknown,ANEXO-IV-CPRM_Relat¢rio_Petr¢polis_22-02-22_Bairro_Valpara¡so_Rua_Eugenio Barcelos.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,90,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-02-22 (exact_day); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0020,PET,Petropolis,S17C_REF_0016,2022-02-28,hydrometeorological_or_unknown,ANEXO-IX-CPRM_Relat¢rio_Petr¢polis_28-02-22_Bairro_Sargento_Boening.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,90,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-02-28 (exact_day); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0021,PET,Petropolis,S17C_REF_0017,2022-02-23,hydrometeorological_or_unknown,ANEXO-V-CPRM_Relat¢rio_Petr¢polis_23-02-22_Rua_Teresa_e_imedia‡äes.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,90,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-02-23 (exact_day); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0022,PET,Petropolis,S17C_REF_0018,2022-02-24,hydrometeorological_or_unknown,ANEXO-VI-CPRM_Relat¢rio_Petr¢polis_24-02-22_Bairro_MoinhoPreto_revisita.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,90,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-02-24 (exact_day); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0023,PET,Petropolis,S17C_REF_0019,2022-02-24,hydrometeorological_or_unknown,ANEXO-VII-CPRM_Relat¢rio_Petr¢polis_24-02-22_Bairro_Mosella_revisita.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,90,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-02-24 (exact_day); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0024,PET,Petropolis,S17C_REF_0020,not_available,hydrometeorological_or_unknown,ANEXO-VIII-CPRM_Relat¢rio_Petr¢polis_25_e_26-02-22_EstradaVelha_e_VilaFelipe.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,0,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data not_available (unknown); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0025,PET,Petropolis,S17C_REF_0021,2022-03-01,hydrometeorological_or_unknown,ANEXO-X-CPRM_Petr¢polis_01-03-22_ServidÆo_Al¡pio_Gomes_da_Costa.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,90,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-03-01 (exact_day); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0026,PET,Petropolis,S17C_REF_0022,2022-03-02,hydrometeorological_or_unknown,ANEXO-XI-CPRM_Petr¢polis_02-03-22_Quitandinha.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,90,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-03-02 (exact_day); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0027,PET,Petropolis,S17C_REF_0023,not_available,hydrometeorological_or_unknown,Relatorio_Tecnico_Petropolis.pdf,official,not_available,none,not_available,same_region_only,false,false,false,false,85,0,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data not_available (unknown); fonte official; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0028,CUR,Curitiba,S17C_REF_0035,not_available,hydrometeorological_or_unknown,CTB_2022_01_15_16,internal_registry,not_available,none,not_available,same_region_only,false,false,false,false,30,0,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao CUR; fenomeno fenomeno_misto; data not_available (unknown); fonte internal_registry; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0029,CUR,Curitiba,S17C_REF_0036,not_available,hydrometeorological_or_unknown,CTB_2023_10_28_30,internal_registry,not_available,none,not_available,same_region_only,false,false,false,false,30,0,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao CUR; fenomeno fenomeno_misto; data not_available (unknown); fonte internal_registry; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0030,CUR,Curitiba,S17C_REF_0037,not_available,hydrometeorological_or_unknown,CTB_2024_02_18_20,internal_registry,not_available,none,not_available,same_region_only,false,false,false,false,30,0,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao CUR; fenomeno fenomeno_misto; data not_available (unknown); fonte internal_registry; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0031,CUR,Curitiba,S17C_REF_0038,not_available,hydrometeorological_or_unknown,CTB_SEEDS_x3,internal_registry,not_available,none,not_available,same_region_only,false,false,false,false,30,0,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao CUR; fenomeno fenomeno_misto; data not_available (unknown); fonte internal_registry; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0032,PET,Petropolis,S17C_REF_0039,not_available,hydrometeorological_or_unknown,PET_2022_03_20_21,internal_registry,not_available,none,not_available,same_region_only,false,false,false,false,30,0,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data not_available (unknown); fonte internal_registry; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0033,PET,Petropolis,S17C_REF_0040,not_available,hydrometeorological_or_unknown,PET_2024_03_21_28,internal_registry,not_available,none,not_available,same_region_only,false,false,false,false,30,0,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data not_available (unknown); fonte internal_registry; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0034,PET,Petropolis,S17C_REF_0041,not_available,hydrometeorological_or_unknown,PET_PACKAGES,internal_registry,not_available,none,not_available,same_region_only,false,false,false,false,30,0,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data not_available (unknown); fonte internal_registry; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0035,PET,Petropolis,S17C_REF_0042,not_available,hydrometeorological_or_unknown,PET_2022_02_15,internal_registry,not_available,none,not_available,same_region_only,false,false,false,false,30,0,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data not_available (unknown); fonte internal_registry; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0036,CUR,Curitiba,S17C_REF_0043,not_available,hydrometeorological_or_unknown,CTB_2023_10_28_30,internal_registry,not_available,none,not_available,same_region_only,false,false,false,false,30,0,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao CUR; fenomeno fenomeno_misto; data not_available (unknown); fonte internal_registry; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0037,PET,Petropolis,S17C_REF_0045,not_available,hydrometeorological_or_unknown,PET_2022_03_20_21,internal_registry,not_available,none,not_available,same_region_only,false,false,false,false,30,0,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data not_available (unknown); fonte internal_registry; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0038,CUR,Curitiba,S17C_REF_0048,not_available,hydrometeorological_or_unknown,CTB_2022_01_15_16,internal_registry,not_available,none,not_available,same_region_only,false,false,false,false,30,0,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao CUR; fenomeno fenomeno_misto; data not_available (unknown); fonte internal_registry; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0039,CUR,Curitiba,S17C_REF_0049,not_available,hydrometeorological_or_unknown,CTB_2024_02_18_20,internal_registry,not_available,none,not_available,same_region_only,false,false,false,false,30,0,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao CUR; fenomeno fenomeno_misto; data not_available (unknown); fonte internal_registry; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0040,PET,Petropolis,S17C_REF_0050,not_available,hydrometeorological_or_unknown,PET_2024_03_21_28,internal_registry,not_available,none,not_available,same_region_only,false,false,false,false,30,0,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data not_available (unknown); fonte internal_registry; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0041,PET,Petropolis,S17C_REF_0057,2022-02-15..2022-02-16,hydrometeorological_or_unknown,Desastre hidrometeorológico de 15 de fevereiro de 2022,documentary,not_available,none,not_available,same_region_only,false,false,false,false,55,80,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-02-15..2022-02-16 (range); fonte documentary; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0042,PET,Petropolis,S17C_REF_0058,2022-03-20..2022-03-21,hydrometeorological_or_unknown,Segundo evento crítico de março de 2022,documentary,not_available,none,not_available,same_region_only,false,false,false,false,55,80,10,0,30,bloqueado_por_fenomeno,fila_separacao_fenomeno,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno fenomeno_misto; data 2022-03-20..2022-03-21 (range); fonte documentary; vinculo same_region_only; fenomeno misto/deslizamento nao entra como inundacao sem separacao por ocorrencia
S18B_ITEM_0043,PET,Petropolis,S17C_REF_0059,2024-03-21..2024-03-28,flood_inundation_alagamento,Chuvas do fim de março de 2024,official,not_available,none,not_available,same_region_only,false,false,false,false,85,80,10,0,85,evidencia_contextual,contexto_documental,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao PET; fenomeno inundacao_alagamento_enxurrada; data 2024-03-21..2024-03-28 (range); fonte official; vinculo same_region_only; fonte documental datada usada apenas como contexto; sem geometria forte
S18B_ITEM_0044,CUR,Curitiba,S17C_REF_0060,2022-01-15..2022-01-16,flood_inundation_alagamento,Temporal e alagamentos de janeiro de 2022,official,not_available,none,CUR_00038,same_region_only,false,false,false,false,85,80,10,0,85,referencia_observacional_parcial,avaliacao_somente_revisao,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao CUR; fenomeno inundacao_alagamento_enxurrada; data 2022-01-15..2022-01-16 (range); fonte official; vinculo same_region_only; inundacao datada oficial; geometria de ocorrencia e patch-link pendentes
S18B_ITEM_0045,CUR,Curitiba,S17C_REF_0061,2023-10-28..2023-10-30,flood_inundation_alagamento,Chuvas muito fortes de outubro de 2023,official,not_available,none,not_available,same_region_only,false,false,false,false,85,80,20,0,85,bloqueado_sem_geometria,fila_obtencao_geometria,false,false,false,true,"referencia observacional regional somente revisao; nao confirma ocorrencia no patch, nao e verdade de referencia, nao alimenta treino e nao autoriza score_v7",regiao CUR; fenomeno inundacao_alagamento_enxurrada; data 2023-10-28..2023-10-30 (range); fonte official; vinculo same_region_only; endereco/texto nao vira geometria forte; em fila de obtencao de geometria
