source_id,region,institution,url,source_type,format,access_method,contains_event_point,contains_event_polygon,contains_address_point,contains_parcel,contains_house_number_range,contains_intersection,contains_street_segment,contains_flood_footprint,priority,download_candidate,reason,review_only
S15ASRC_0010,curitiba,Curitiba - Dados Abertos,https://dadosabertos.curitiba.pr.gov.br/api/3/action/package_search,official,api,ckan_api,false,false,false,false,false,false,true,false,1,true,herdado do registro oficial 14B: logradouros,true
S15ASRC_0014,curitiba,Curitiba - Dados Abertos,https://dadosabertos.curitiba.pr.gov.br/api/3/action/package_search,official,api,ckan_api,true,false,false,false,false,false,false,true,3,true,herdado do registro oficial 14B: pontos de alagamento,true
S15ASRC_0017,petropolis,Governo do RJ - Dados Abertos,http://www.dados.rj.gov.br/api/3/action/package_search,state,api,ckan_api,false,false,false,false,false,false,true,false,1,true,herdado do registro oficial 14B: logradouros,true
S15ASRC_0024,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/02bcf3f8-464d-4a63-a95b-870bf3c0e361/resource/637bfc72-fe7b-4257-ade2-ee76809c7d0c/download/cadastro-das-escolas-2009.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2009 - Cadastro das Escolas - 2009,true
S15ASRC_0025,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/02bcf3f8-464d-4a63-a95b-870bf3c0e361/resource/49c3c70d-9d75-4321-b0c4-15d2c54ab19f/download/cadastro-de-turmas-por-escola-2009.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2009 - Cadastro de turmas por escola - 2009,true
S15ASRC_0026,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/02bcf3f8-464d-4a63-a95b-870bf3c0e361/resource/f801ad69-6a96-4e13-a7bb-6eaecc228f34/download/cadastro-dos-alunos-por-turma-2009.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2009 - Cadastro dos alunos por turma - 2009,true
S15ASRC_0027,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/02bcf3f8-464d-4a63-a95b-870bf3c0e361/resource/2677badc-5ee7-421b-8f4a-8d96985b6e39/download/cadastro-dos-docentes-por-turma-2009.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2009 - Cadastro dos docentes por turma - 2009,true
S15ASRC_0028,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/02bcf3f8-464d-4a63-a95b-870bf3c0e361/resource/78493c1e-22cd-488c-9d99-040a24b41de0/download/dicionario-de-dados-do-cadastro-das-escolas.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2009 - Dicionário de Dados do Cadastro das Escolas,true
S15ASRC_0029,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/02bcf3f8-464d-4a63-a95b-870bf3c0e361/resource/7d524a8a-6a65-4bb2-86af-14d7d2c21bca/download/dicionario-de-dados-do-cadastro-de-turmas-por-escola.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2009 - Dicionário de Dados do Cadastro de turmas por escola,true
S15ASRC_0030,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/02bcf3f8-464d-4a63-a95b-870bf3c0e361/resource/8964c92d-1e97-45d8-9e76-845286ca9736/download/dicionario-de-dados-do-cadastro-dos-alunos-por-turma.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2009 - Dicionário de Dados do Cadastro dos alunos por turma,true
S15ASRC_0031,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/02bcf3f8-464d-4a63-a95b-870bf3c0e361/resource/c6357b39-aec2-4c5a-92d8-e6206b42b03e/download/dicionario-de-dados-do-cadastro-dos-docentes-por-turma.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2009 - Dicionário de Dados do Cadastro dos docentes por turma,true
S15ASRC_0032,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/72fb2cd6-9ccf-445e-a70e-dc25ef84cc5f/resource/9edd117f-14f6-4320-be3e-d34119cba307/download/cadastro-das-escolas-2010.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2010 - Cadastro das Escolas - 2010,true
S15ASRC_0033,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/72fb2cd6-9ccf-445e-a70e-dc25ef84cc5f/resource/c6f6251d-d601-4ea6-81c8-d6c640cff655/download/cadastro-de-turmas-por-escola-2010.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2010 - Cadastro de turmas por escola - 2010,true
S15ASRC_0034,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/72fb2cd6-9ccf-445e-a70e-dc25ef84cc5f/resource/b313979c-0cbc-4d7a-b0e3-f98554acf4a1/download/cadastro-dos-alunos-por-turma-2010.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2010 - Cadastro dos alunos por turma - 2010,true
S15ASRC_0035,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/72fb2cd6-9ccf-445e-a70e-dc25ef84cc5f/resource/4e5fe3f0-3eea-4cc2-8cbb-0bbfd5e94af4/download/cadastro-dos-docentes-por-turma-2010.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2010 - Cadastro dos docentes por turma - 2010,true
S15ASRC_0036,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/72fb2cd6-9ccf-445e-a70e-dc25ef84cc5f/resource/c1df569a-2aed-4aab-a651-2b79ec690d44/download/dicionario-de-dados-do-cadastro-das-escolas.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2010 - Dicionário de Dados do Cadastro das Escolas,true
S15ASRC_0037,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/72fb2cd6-9ccf-445e-a70e-dc25ef84cc5f/resource/57ef9308-cc41-499b-b654-70d9a94ac1c3/download/dicionario-de-dados-do-cadastro-de-turmas-por-escola.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2010 - Dicionário de Dados do Cadastro de turmas por escola,true
S15ASRC_0038,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/72fb2cd6-9ccf-445e-a70e-dc25ef84cc5f/resource/808c2c9e-8e4b-464d-a97b-408d86e35b9d/download/dicionario-de-dados-do-cadastro-dos-alunos-por-turma.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2010 - Dicionário de Dados do Cadastro dos alunos por turma,true
S15ASRC_0039,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/72fb2cd6-9ccf-445e-a70e-dc25ef84cc5f/resource/605f1b75-f160-4644-8665-03ebc72bcf00/download/dicionario-de-dados-do-cadastro-dos-docentes-por-turma.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2010 - Dicionário de Dados do Cadastro dos docentes por turma,true
S15ASRC_0040,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/25e68b49-e4d9-4af3-88a2-ec7c1c75e806/resource/d829bb3f-ec9e-4a6a-9134-3890c67478ca/download/cadastro-das-escolas-2011.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2011 - Cadastro das Escolas - 2011,true
S15ASRC_0041,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/25e68b49-e4d9-4af3-88a2-ec7c1c75e806/resource/c6c66ab1-30cd-41ec-830e-bfdf012d2e22/download/cadastro-de-turmas-por-escola-2011.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2011 - Cadastro de turmas por escola - 2011,true
S15ASRC_0042,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/25e68b49-e4d9-4af3-88a2-ec7c1c75e806/resource/3736c545-d4ca-4f14-a9e7-c14ef43599ea/download/cadastro-dos-alunos-por-turma-2011.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2011 - Cadastro dos alunos por turma - 2011,true
S15ASRC_0043,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/25e68b49-e4d9-4af3-88a2-ec7c1c75e806/resource/8a834fc5-f450-4271-9849-2aceb08742a8/download/cadastro-dos-docentes-por-turma-2011.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2011 - Cadastro dos docentes por turma - 2011,true
S15ASRC_0044,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/25e68b49-e4d9-4af3-88a2-ec7c1c75e806/resource/2bbf2a40-ffe3-4fa0-ba34-467ab0974861/download/dicionario-de-dados-do-cadastro-das-escolas.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2011 - Dicionário de Dados do Cadastro das Escolas,true
S15ASRC_0045,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/25e68b49-e4d9-4af3-88a2-ec7c1c75e806/resource/a38f9874-a51b-4795-8af8-ae26cf606d23/download/dicionario-de-dados-do-cadastro-de-turmas-por-escola.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2011 - Dicionário de Dados do Cadastro de turmas por escola,true
S15ASRC_0046,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/25e68b49-e4d9-4af3-88a2-ec7c1c75e806/resource/36842461-a840-4d0a-9afb-5b956dacdbc1/download/dicionario-de-dados-do-cadastro-dos-alunos-por-turma.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2011 - Dicionário de Dados do Cadastro dos alunos por turma,true
S15ASRC_0047,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/25e68b49-e4d9-4af3-88a2-ec7c1c75e806/resource/3b6e5681-f243-4171-9b8a-cf7d0880ef4b/download/dicionario-de-dados-do-cadastro-dos-docentes-por-turma.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2011 - Dicionário de Dados do Cadastro dos docentes por turma,true
S15ASRC_0048,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/ee599274-6f15-43c3-9242-c6be5219780d/resource/74f84453-a1d8-4db9-adcb-6f6b70ea528a/download/cadastro-das-escolas-2012.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2012 - Cadastro das Escolas - 2012,true
S15ASRC_0049,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/ee599274-6f15-43c3-9242-c6be5219780d/resource/099adcf4-8305-49ac-9326-9364832a0124/download/cadastro-de-turmas-por-escola-2012.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2012 - Cadastro de turmas por escola - 2012,true
S15ASRC_0050,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/ee599274-6f15-43c3-9242-c6be5219780d/resource/fc3a0219-adba-4c6c-9812-3d1c7e6680c0/download/cadastro-dos-alunos-por-turma-2012.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2012 - Cadastro dos alunos por turma - 2012,true
S15ASRC_0051,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/ee599274-6f15-43c3-9242-c6be5219780d/resource/c0ba2bba-6fde-4764-9909-532a8a29ab58/download/cadastro-dos-docentes-2012.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2012 - Cadastro dos docentes - 2012,true
S15ASRC_0052,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/ee599274-6f15-43c3-9242-c6be5219780d/resource/08e31717-15f0-451a-b787-15b1ea850090/download/cadastro-dos-docentes-por-turma-2012.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2012 - Cadastro dos docentes por turma - 2012,true
S15ASRC_0053,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/ee599274-6f15-43c3-9242-c6be5219780d/resource/73182f24-f470-4e3f-8627-07764820ea62/download/dicionario-de-dados-do-cadastro-das-escolas.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2012 - Dicionário de Dados do Cadastro das Escolas,true
S15ASRC_0054,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/ee599274-6f15-43c3-9242-c6be5219780d/resource/c7a7d205-97fc-4c52-9884-988e7bdacd0b/download/dicionario-de-dados-do-cadastro-de-turmas-por-escola.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2012 - Dicionário de Dados do Cadastro de turmas por escola,true
S15ASRC_0055,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/ee599274-6f15-43c3-9242-c6be5219780d/resource/c6b7cb58-9824-4328-a226-91c16d1a3780/download/dicionario-de-dados-do-cadastro-dos-alunos-por-turma.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2012 - Dicionário de Dados do Cadastro dos alunos por turma,true
S15ASRC_0056,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/ee599274-6f15-43c3-9242-c6be5219780d/resource/2b346366-5b1f-4f24-a15d-7a4956b32325/download/dicionario-de-dados-do-cadastro-dos-docentes-por-turma.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2012 - Dicionário de Dados do Cadastro dos docentes por turma,true
S15ASRC_0057,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/5ed5aba1-a029-40c2-a94a-386f6c2b8d74/resource/9afc95e8-7500-45f2-85f9-9ea1355b9d89/download/cadastro-das-escolas-2013.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2013 - Cadastro das Escolas - 2013,true
S15ASRC_0058,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/5ed5aba1-a029-40c2-a94a-386f6c2b8d74/resource/5226839c-dc33-4096-9829-a698bf62cdb6/download/cadastro-de-turmas-por-escola-2013.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2013 - Cadastro de turmas por escola - 2013,true
S15ASRC_0059,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/5ed5aba1-a029-40c2-a94a-386f6c2b8d74/resource/8156ce59-24b0-4f69-9939-fea86b1d68a7/download/cadastro-dos-alunos-por-turma-2013.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2013 - Cadastro dos alunos por turma - 2013,true
S15ASRC_0060,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/5ed5aba1-a029-40c2-a94a-386f6c2b8d74/resource/89defb13-7f07-4931-bf64-8e684c7301e1/download/cadastro-dos-docentes-por-turma-2013.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2013 - Cadastro dos docentes por turma - 2013,true
S15ASRC_0061,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/5ed5aba1-a029-40c2-a94a-386f6c2b8d74/resource/625340e0-2d6e-42bf-8cc7-eb879d881a0f/download/dicionario-de-dados-do-cadastro-das-escolas.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2013 - Dicionário de Dados do Cadastro das Escolas,true
S15ASRC_0062,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/5ed5aba1-a029-40c2-a94a-386f6c2b8d74/resource/c2910b29-69ba-4870-9afb-4d27d8297471/download/dicionario-de-dados-do-cadastro-de-turmas-por-escola.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2013 - Dicionário de Dados do Cadastro de turmas por escola,true
S15ASRC_0063,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/5ed5aba1-a029-40c2-a94a-386f6c2b8d74/resource/bf0f0d66-3175-4cf2-9d10-759db66e634d/download/dicionario-de-dados-do-cadastro-dos-alunos-por-turma.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2013 - Dicionário de Dados do Cadastro dos alunos por turma,true
S15ASRC_0064,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/5ed5aba1-a029-40c2-a94a-386f6c2b8d74/resource/db30d858-92bd-49ca-bb1c-c7dda73ca616/download/dicionario-de-dados-do-cadastro-dos-docentes-por-turma.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2013 - Dicionário de Dados do Cadastro dos docentes por turma,true
S15ASRC_0065,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/cfdd7814-fcbc-4a37-adc8-fdb8406171b7/resource/155d2cdb-2e42-4c23-b89f-f6dff3895b9b/download/cadastro-das-escolas-2014.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2014 - Cadastro das Escolas - 2014,true
S15ASRC_0066,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/cfdd7814-fcbc-4a37-adc8-fdb8406171b7/resource/2ac0a4d0-6f74-4086-961c-18b0b88c1d2b/download/cadastro-de-turmas-por-escola-2014.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2014 - Cadastro de turmas por escola - 2014,true
S15ASRC_0067,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/cfdd7814-fcbc-4a37-adc8-fdb8406171b7/resource/32ded9c0-3d5b-421a-8792-d94bb2ecfa6b/download/cadastro-dos-alunos-por-turma-2014.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2014 - Cadastro dos alunos por turma - 2014,true
S15ASRC_0068,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/cfdd7814-fcbc-4a37-adc8-fdb8406171b7/resource/99f75cce-f13b-444f-bd2e-a986643d60f0/download/cadastro-dos-docentes-por-turma-2014.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2014 - Cadastro dos docentes por turma - 2014,true
S15ASRC_0069,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/cfdd7814-fcbc-4a37-adc8-fdb8406171b7/resource/9f74d95b-5484-4116-b78d-0a4a128dcdb7/download/dicionario-de-dados-do-censo-escolar-cadastro-das-escolas.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2014 - Dicionário de Dados do Censo Escolar (Cadastro das Escolas),true
S15ASRC_0070,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/cfdd7814-fcbc-4a37-adc8-fdb8406171b7/resource/92ab2242-297d-4385-af8a-192841545d57/download/dicionario-de-dados-do-censo-escolar-cadastro-de-turmas-por-escola.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2014 - Dicionário de Dados do Censo Escolar (Cadastro de turmas por escola),true
S15ASRC_0071,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/cfdd7814-fcbc-4a37-adc8-fdb8406171b7/resource/f170c3ae-a3e0-4e13-b8de-a04d5ca40ec2/download/dicionario-de-dados-do-censo-escolar-cadastro-dos-alunos-por-turma.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2014 - Dicionário de Dados do Censo Escolar (Cadastro dos alunos por turma),true
S15ASRC_0072,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/cfdd7814-fcbc-4a37-adc8-fdb8406171b7/resource/6a65e286-d8a3-47d2-bac2-7ac331226573/download/dicionario-de-dados-do-censo-escolar-cadastro-dos-docentes-por-turma.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2014 - Dicionário de Dados do Censo Escolar (Cadastro dos docentes por turma),true
S15ASRC_0073,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/463bf158-fad9-43ad-a642-afba60e46f5d/resource/c1c1f9c2-2d16-4c59-a907-dc248bf6d940/download/cadastro-das-escolas-2015.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2015 - Cadastro das Escolas - 2015,true
S15ASRC_0074,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/463bf158-fad9-43ad-a642-afba60e46f5d/resource/f55af2ef-e645-4fac-918c-42daf130de32/download/cadastro-de-turmas-por-escola-2015.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2015 - Cadastro de turmas por escola - 2015,true
S15ASRC_0075,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/463bf158-fad9-43ad-a642-afba60e46f5d/resource/f647e19b-f089-4b58-88ce-dc4e1dde70e1/download/cadastro-dos-alunos-por-turma-2015.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2015 - Cadastro dos alunos por turma - 2015,true
S15ASRC_0076,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/463bf158-fad9-43ad-a642-afba60e46f5d/resource/b8cbd013-a0b3-4887-88be-27a996c5c874/download/cadastro-dos-docentes-por-turma-2015.csv,official,csv,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2015 - Cadastro dos docentes por turma - 2015,true
S15ASRC_0077,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/463bf158-fad9-43ad-a642-afba60e46f5d/resource/feb1fcf8-c36f-45ac-a094-bd314a81b8f0/download/dicionario-de-dados-censo-escolar-2015-cadastro-das-escolas.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2015 - Dicionário de Dados Censo Escolar 2015 (Cadastro das Escolas),true
S15ASRC_0078,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/463bf158-fad9-43ad-a642-afba60e46f5d/resource/0da107cf-b98d-4d81-a639-b78fbff2d834/download/dicionario-de-dados-censo-escolar-2015-cadastro-das-escolas.pdf,official,pdf,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2015 - Dicionário de Dados Censo Escolar 2015 (Cadastro das Escolas),true
S15ASRC_0079,recife,Prefeitura do Recife - Dados Abertos,https://dados.recife.pe.gov.br:443/dataset/463bf158-fad9-43ad-a642-afba60e46f5d/resource/4cb8a456-9aa5-42c3-99f5-49c8a2f5936f/download/dicionario-de-dados-censo-escolar-2015-cadastro-de-turmas-por-escola.json,official,json,ckan_resource,false,false,true,false,false,false,false,false,1,true,herdado do registro oficial 14B: Censo Escolar 2015 - Dicionário de Dados Censo Escolar 2015 (Cadastro de turmas por escola),true
