file_path,public_role,include_in_public_layer,reason,risk_level,needs_human_review,notes
outputs_public/tables/table_corpus_summary.csv,Resumo do corpus,Sim,Contagens canônicas do corpus,Baixo,Não,Não alterar
outputs_public/tables/table_patch_distribution_by_region.csv,Distribuição de patches por região,Sim,Tabela canônica de distribuição,Baixo,Não,Não alterar
outputs_public/tables/table_dino_embedding_inventory.csv,Inventário de embeddings DINOv2,Sim,Registro dos 12 embeddings reais,Baixo,Não,Não alterar
outputs_public/tables/table_dino_similarity_matrix.csv,Matriz de similaridade DINOv2,Sim,Resultado estrutural,Baixo,Não,Não alterar
outputs_public/tables/table_dino_nearest_neighbors.csv,Tabela de vizinhos mais próximos,Sim,Resultado estrutural,Baixo,Não,Não alterar
outputs_public/tables/table_dino_pca_coordinates.csv,Coordenadas PCA,Sim,Resultado estrutural,Baixo,Não,Não alterar
outputs_public/tables/table_dino_medoids.csv,Medoids por região,Sim,Resultado estrutural,Baixo,Não,Não alterar
outputs_public/tables/table_dino_outliers.csv,Outliers por região,Sim,Resultado estrutural,Baixo,Não,Não alterar
outputs_public/tables/table_external_evidence_summary.csv,Resumo de evidência externa,Sim,Síntese de evidências por região,Baixo,Não,Não alterar
outputs_public/tables/table_claims_guardrails_summary.csv,Resumo de claims e restrições,Sim,Registro de claims permitidos e proibidos,Baixo,Não,Não alterar
outputs_public/tables/revp_external_evidence_manifest_public_v2cp.csv,Manifesto público de evidência externa,Sim,3 evidências geoespaciais públicas,Baixo,Sim,Verificar licenças antes de redistribuir
outputs_public/tables/revp_external_geospatial_qa_v2cq.csv,QA geoespacial externo,Sim,3 auditorias de qualidade,Baixo,Não,Adequado
outputs_public/tables/revp_external_patch_pairing_v2cr.csv,Pareamentos patch-evidência,Sim,3 pares documentados,Baixo,Sim,Verificar critérios de validade
outputs_public/tables/revp_indice_etapas_publicas.csv,Índice de estágios CSV,Sim,Criado na curadoria,Baixo,Não,Novo
outputs_public/tables/revp_lista_arquivos_exportacao_publica.csv,Esta lista de exportação,Sim,Criado na curadoria,Baixo,Não,Este arquivo
outputs_public/metrics/dino_cluster_summary.csv,Métricas de agrupamento DINOv2,Sim,Resultado descritivo,Baixo,Não,Não alterar
outputs_public/metrics/dino_pca_summary.csv,Métricas de PCA,Sim,Resultado descritivo,Baixo,Não,Não alterar
outputs_public/metrics/dino_similarity_summary.csv,Métricas de similaridade,Sim,Resultado descritivo,Baixo,Não,Não alterar
outputs_public/metrics/qa_metrics_summary.csv,Métricas de QA,Sim,Resultado de auditoria,Baixo,Não,Não alterar
outputs_public/metrics/readiness_summary.csv,Resumo de prontidão,Sim,Estado de prontidão do pipeline,Baixo,Não,Não alterar
outputs_public/metrics/dino_robustness_summary.csv,Métricas de robustez DINOv2,Sim,Resultado de análise de sensibilidade,Baixo,Não,Não alterar
datasets/,Registries e tabelas auditáveis,Sim (referência),Necessário para rastreabilidade,Médio,Não,Não alterar — contratos de schema
docs/metodologia_cientifica/,Documentação metodológica,Sim (referência),Contexto científico do pipeline,Baixo,Não,Não alterar documentos existentes
manifests/,Manifests de corpus e validação,Sim (referência),Auditabilidade do corpus,Médio,Não,Não alterar
configs/,Templates e checklists,Sim (referência),Reprodutibilidade local,Baixo,Não,Não alterar
local_runs/,Execução local pesada,Não,Dados pesados locais,N/A,N/A,Fora do Git por design
*.npz,Embeddings brutos,Não,Dados pesados locais,Alto,Não,Nunca publicar
*.npy,Arrays brutos,Não,Dados pesados locais,Alto,Não,Nunca publicar
*.parquet,Dados brutos em parquet,Não,Dados pesados locais,Alto,Não,Nunca publicar
GeoTIFFs,Rasters brutos,Não,Dados pesados locais,Alto,Não,Nunca publicar
shapefiles,Vetores brutos,Não,Dados brutos com licença variável,Alto,Sim,Verificar licença antes de qualquer publicação
__pycache__/,Cache Python,Não,Artefato temporário,N/A,Não,Ignorado pelo .gitignore
.venv/,Ambiente virtual,Não,Dependência de ambiente,N/A,Não,Ignorado pelo .gitignore
