pair_id,candidate_id,patch_id,region,patch_boundary_available,event_geometry_available,intersection_test_possible,intersection_confirmed,tp2_status,tp3_ready,blocking_reason
PAIR_v2ci_0011,CTB_2024_02_18_20,FACT_v2at_0008,Curitiba,false,false,false,false,TP2_CANDIDATE_ONLY,false,"GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:Falta geometria de evento e/ou crosswalk Sentinel explicito; mesmo com tudo explicito, vira READY_FOR_EXTERNAL_VALIDATION, nao ground truth."
PAIR_v2ci_0012,CTB_2023_10_28_30,,Curitiba,false,false,false,false,TP2_CANDIDATE_ONLY,false,"GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:Falta geometria de evento e/ou crosswalk Sentinel explicito; mesmo com tudo explicito, vira READY_FOR_EXTERNAL_VALIDATION, nao ground truth."
PAIR_v2ci_0013,CTB_2022_01_15_16,,Curitiba,false,false,false,false,TP2_CANDIDATE_ONLY,false,"GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:Falta geometria de evento e/ou crosswalk Sentinel explicito; mesmo com tudo explicito, vira READY_FOR_EXTERNAL_VALIDATION, nao ground truth."
PAIR_v2ci_0014,CTB_2024_02_18_20,,Curitiba,false,false,false,false,TP2_CANDIDATE_ONLY,false,"GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:Falta geometria de evento e/ou crosswalk Sentinel explicito; mesmo com tudo explicito, vira READY_FOR_EXTERNAL_VALIDATION, nao ground truth."
PAIR_v2ci_0015,PET_2022_02_15,,Petropolis,true,false,false,false,TP2_CANDIDATE_ONLY,false,"CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:Falta geometria de evento e/ou crosswalk Sentinel explicito; mesmo com tudo explicito, vira READY_FOR_EXTERNAL_VALIDATION, nao ground truth."
PAIR_v2ci_0016,REC_2022_05_24_30,,UNKNOWN,true,false,false,false,TP2_CANDIDATE_ONLY,false,"GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:Falta geometria de evento e/ou crosswalk Sentinel explicito; mesmo com tudo explicito, vira READY_FOR_EXTERNAL_VALIDATION, nao ground truth."
PAIR_v2ci_0017,REC_2024_06_14_16,,UNKNOWN,true,false,false,false,TP2_CANDIDATE_ONLY,false,"GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:Falta geometria de evento e/ou crosswalk Sentinel explicito; mesmo com tudo explicito, vira READY_FOR_EXTERNAL_VALIDATION, nao ground truth."
PAIR_v2ci_0018,CTB_2023_10_28_30,,Curitiba,true,false,false,false,TP2_CANDIDATE_ONLY,false,"GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:Falta geometria de evento e/ou crosswalk Sentinel explicito; mesmo com tudo explicito, vira READY_FOR_EXTERNAL_VALIDATION, nao ground truth."
PAIR_v2ci_0019,CTB_2022_01_15_16,,Curitiba,true,false,false,false,TP2_CANDIDATE_ONLY,false,"GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:Falta geometria de evento e/ou crosswalk Sentinel explicito; mesmo com tudo explicito, vira READY_FOR_EXTERNAL_VALIDATION, nao ground truth."
PAIR_v2ci_0020,CTB_2024_02_18_20,,Curitiba,true,false,false,false,TP2_CANDIDATE_ONLY,false,"GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:Falta geometria de evento e/ou crosswalk Sentinel explicito; mesmo com tudo explicito, vira READY_FOR_EXTERNAL_VALIDATION, nao ground truth."
PAIR_v2ci_0021,REC_2023_02_05_06,,UNKNOWN,true,false,false,false,TP2_CANDIDATE_ONLY,false,"GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:Falta geometria de evento e/ou crosswalk Sentinel explicito; mesmo com tudo explicito, vira READY_FOR_EXTERNAL_VALIDATION, nao ground truth."
PAIR_v2ci_0022,PET_2022_03_20_21,,Petropolis,true,false,false,false,TP2_CANDIDATE_ONLY,false,"CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:Falta geometria de evento e/ou crosswalk Sentinel explicito; mesmo com tudo explicito, vira READY_FOR_EXTERNAL_VALIDATION, nao ground truth."
PAIR_v2ci_0023,PET_2024_03_21_28,,Petropolis,true,false,false,false,TP2_BLOCKED,false,"GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:Falta geometria de evento e/ou crosswalk Sentinel explicito; mesmo com tudo explicito, vira READY_FOR_EXTERNAL_VALIDATION, nao ground truth."
PAIR_v2ci_0024,PKG_v2at_0001,PKG_v2at_0001,Petropolis,false,false,false,false,TP2_BLOCKED,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|HASH_AUSENTE|FONTE_REGISTRA:BLOCKED_LICENSE_UNKNOWN
PAIR_v2ci_0025,PKG_v2at_0002,PKG_v2at_0002,Curitiba,false,false,false,false,TP2_BLOCKED,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|HASH_AUSENTE|FONTE_REGISTRA:BLOCKED_LICENSE_UNKNOWN
PAIR_v2ci_0026,PKG_v2at_0003,PKG_v2at_0003,UNKNOWN,false,false,false,false,TP2_BLOCKED,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|HASH_AUSENTE|FONTE_REGISTRA:BLOCKED_LICENSE_UNKNOWN
PAIR_v2ci_0027,PKG_v2at_0004,PKG_v2at_0004,Petropolis,false,false,false,false,TP2_BLOCKED,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|HASH_AUSENTE|FONTE_REGISTRA:BLOCKED_LICENSE_UNKNOWN
PAIR_v2ci_0028,PKG_v2at_0005,PKG_v2at_0005,UNKNOWN,false,false,false,false,TP2_BLOCKED,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|HASH_AUSENTE|FONTE_REGISTRA:BLOCKED_LICENSE_UNKNOWN
PAIR_v2ci_0029,PKG_v2at_0006,PKG_v2at_0006,UNKNOWN,false,false,false,false,TP2_BLOCKED,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|HASH_AUSENTE|FONTE_REGISTRA:BLOCKED_LICENSE_UNKNOWN
PAIR_v2ci_0030,PKG_v2at_0007,PKG_v2at_0007,Curitiba,false,false,false,false,TP2_BLOCKED,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|HASH_AUSENTE|FONTE_REGISTRA:BLOCKED_LICENSE_UNKNOWN
PAIR_v2ci_0031,PKG_v2at_0008,PKG_v2at_0008,Curitiba,false,false,false,false,TP2_BLOCKED,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|HASH_AUSENTE|FONTE_REGISTRA:BLOCKED_LICENSE_UNKNOWN
PAIR_v2ci_0032,PKG_v2at_0009,PKG_v2at_0009,Petropolis,false,false,false,false,TP2_BLOCKED,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|HASH_AUSENTE|FONTE_REGISTRA:BLOCKED_LICENSE_UNKNOWN
PAIR_v2ci_0033,CG_v2ba_0001,,UNKNOWN,false,false,false,false,TP2_CANDIDATE_ONLY,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:NO_TRACEABLE_GEOMETRY
PAIR_v2ci_0034,CG_v2ba_0002,,UNKNOWN,false,false,false,false,TP2_CANDIDATE_ONLY,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:NO_TRACEABLE_GEOMETRY
PAIR_v2ci_0035,CG_v2ba_0004,,UNKNOWN,false,false,false,false,TP2_CANDIDATE_ONLY,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:NO_TRACEABLE_GEOMETRY
PAIR_v2ci_0036,CG_v2ba_0007,,UNKNOWN,false,false,false,false,TP2_CANDIDATE_ONLY,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:NO_TRACEABLE_GEOMETRY
PAIR_v2ci_0037,CG_v2ba_0008,,UNKNOWN,false,false,false,false,TP2_CANDIDATE_ONLY,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:NO_TRACEABLE_GEOMETRY
PAIR_v2ci_0038,CG_v2ba_0009,,UNKNOWN,false,false,false,false,TP2_CANDIDATE_ONLY,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:NO_TRACEABLE_GEOMETRY
