canonical_patch_id,region,current_clean_dates_count,current_clean_dates,missing_dates_to_3,current_clean_temporal_asset_count,s2_clean_asset_count,s1_clean_asset_count,dinov2_clean_asset_count,eligible_for_temporal_embedding_drift_now,acquisition_gap_status,acquisition_priority,is_actionable_for_temporal_backfill,requires_metadata_repair_before_acquisition,remaining_blockers,minimum_new_acquisitions_required,recommended_sensor_family,recommended_processing_contract,next_required_action,guardrail_status
CTB_SEEDS_x3,Curitiba,0,unknown,3,0,0,0,0,false,BLOCKED_BY_METADATA_REPAIR,P3_REPAIR_METADATA_FIRST,false,true,BLOCKED_MISSING_ASSET_TYPE,0,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,REPAIR_METADATA_BEFORE_TEMPORAL_ACQUISITION,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR-00038,Curitiba,0,unknown,3,0,0,0,0,false,BLOCKED_BY_METADATA_REPAIR,P3_REPAIR_METADATA_FIRST,false,true,BLOCKED_MISSING_ASSET_TYPE,0,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,REPAIR_METADATA_BEFORE_TEMPORAL_ACQUISITION,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR-00249,Curitiba,0,unknown,3,0,0,0,0,false,BLOCKED_BY_METADATA_REPAIR,P3_REPAIR_METADATA_FIRST,false,true,BLOCKED_MISSING_ASSET_TYPE,0,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,REPAIR_METADATA_BEFORE_TEMPORAL_ACQUISITION,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR-00357,Curitiba,0,unknown,3,0,0,0,0,false,BLOCKED_BY_METADATA_REPAIR,P3_REPAIR_METADATA_FIRST,false,true,BLOCKED_MISSING_ASSET_TYPE,0,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,REPAIR_METADATA_BEFORE_TEMPORAL_ACQUISITION,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00038,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00249,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00350,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00357,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00367,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00402,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00409,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00410,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00413,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00416,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00445,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00446,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00597,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00661,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00662,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00695,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00728,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00740,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00887,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00888,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00889,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00895,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00899,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00924,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00930,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00934,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00936,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00960,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00969,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00977,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00992,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_00995,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_01,Curitiba,0,unknown,3,0,0,0,0,false,BLOCKED_BY_METADATA_REPAIR,P3_REPAIR_METADATA_FIRST,false,true,BLOCKED_MISSING_ASSET_TYPE|NOT_TEMPORAL_ASSET,0,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,REPAIR_METADATA_BEFORE_TEMPORAL_ACQUISITION,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_01012,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CUR_01015,Curitiba,1,2026-05-11,2,6,0,0,6,false,NEEDS_2_MORE_DATES,P1_NEEDS_2_DATES,true,false,BLOCKED_MISSING_ACQUISITION_DATE|BLOCKED_MISSING_ASSET_TYPE|BLOCKED_MISSING_REGION|NOT_TEMPORAL_ASSET,2,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,PLAN_TWO_REAL_TEMPORAL_ACQUISITION_SLOTS,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
