safety_audit_id,formal_request_id,guardrail,passes,violation_found,blocking_reason,review_only
S17C13_SAFE_0049,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,nenhum efeito externo,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0050,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,submit-assisted bloqueado sem opt-in,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0051,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,canais candidatos nao submetidos,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0052,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,canais ausentes bloqueados,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0053,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,score v6 intacto,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0054,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,score v7 inexistente,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0055,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,17B inelegivel,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0056,P1_SENTINEL2_TILE_CANDIDATE_GRID,nenhuma solicitacao enviada no build,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0057,P1_SENTINEL2_TILE_CANDIDATE_GRID,nenhum protocolo inventado,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0058,P1_SENTINEL2_TILE_CANDIDATE_GRID,nenhuma resposta inventada,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0059,P1_SENTINEL2_TILE_CANDIDATE_GRID,nenhum contato inventado,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0060,P1_SENTINEL2_TILE_CANDIDATE_GRID,nenhum efeito externo,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0061,P1_SENTINEL2_TILE_CANDIDATE_GRID,submit-assisted bloqueado sem opt-in,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0062,P1_SENTINEL2_TILE_CANDIDATE_GRID,canais candidatos nao submetidos,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0063,P1_SENTINEL2_TILE_CANDIDATE_GRID,canais ausentes bloqueados,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0064,P1_SENTINEL2_TILE_CANDIDATE_GRID,score v6 intacto,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0065,P1_SENTINEL2_TILE_CANDIDATE_GRID,score v7 inexistente,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0066,P1_SENTINEL2_TILE_CANDIDATE_GRID,17B inelegivel,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0067,P1_SGB_CPRM_VECTOR_OR_COORDINATES,nenhuma solicitacao enviada no build,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0068,P1_SGB_CPRM_VECTOR_OR_COORDINATES,nenhum protocolo inventado,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0069,P1_SGB_CPRM_VECTOR_OR_COORDINATES,nenhuma resposta inventada,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0070,P1_SGB_CPRM_VECTOR_OR_COORDINATES,nenhum contato inventado,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0071,P1_SGB_CPRM_VECTOR_OR_COORDINATES,nenhum efeito externo,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0072,P1_SGB_CPRM_VECTOR_OR_COORDINATES,submit-assisted bloqueado sem opt-in,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0073,P1_SGB_CPRM_VECTOR_OR_COORDINATES,canais candidatos nao submetidos,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0074,P1_SGB_CPRM_VECTOR_OR_COORDINATES,canais ausentes bloqueados,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0075,P1_SGB_CPRM_VECTOR_OR_COORDINATES,score v6 intacto,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0076,P1_SGB_CPRM_VECTOR_OR_COORDINATES,score v7 inexistente,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0077,P1_SGB_CPRM_VECTOR_OR_COORDINATES,17B inelegivel,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0078,P2_DINO_SATMAE_INPUT_TILE,nenhuma solicitacao enviada no build,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0079,P2_DINO_SATMAE_INPUT_TILE,nenhum protocolo inventado,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0080,P2_DINO_SATMAE_INPUT_TILE,nenhuma resposta inventada,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0081,P2_DINO_SATMAE_INPUT_TILE,nenhum contato inventado,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0082,P2_DINO_SATMAE_INPUT_TILE,nenhum efeito externo,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0083,P2_DINO_SATMAE_INPUT_TILE,submit-assisted bloqueado sem opt-in,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0084,P2_DINO_SATMAE_INPUT_TILE,canais candidatos nao submetidos,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0085,P2_DINO_SATMAE_INPUT_TILE,canais ausentes bloqueados,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0086,P2_DINO_SATMAE_INPUT_TILE,score v6 intacto,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0087,P2_DINO_SATMAE_INPUT_TILE,score v7 inexistente,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0088,P2_DINO_SATMAE_INPUT_TILE,17B inelegivel,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0089,P2_SAR_RUNTIME_OR_EXPORT_PATH,nenhuma solicitacao enviada no build,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0090,P2_SAR_RUNTIME_OR_EXPORT_PATH,nenhum protocolo inventado,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0091,P2_SAR_RUNTIME_OR_EXPORT_PATH,nenhuma resposta inventada,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0092,P2_SAR_RUNTIME_OR_EXPORT_PATH,nenhum contato inventado,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0093,P2_SAR_RUNTIME_OR_EXPORT_PATH,nenhum efeito externo,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0094,P2_SAR_RUNTIME_OR_EXPORT_PATH,submit-assisted bloqueado sem opt-in,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0095,P2_SAR_RUNTIME_OR_EXPORT_PATH,canais candidatos nao submetidos,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0096,P2_SAR_RUNTIME_OR_EXPORT_PATH,canais ausentes bloqueados,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0097,P2_SAR_RUNTIME_OR_EXPORT_PATH,score v6 intacto,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0098,P2_SAR_RUNTIME_OR_EXPORT_PATH,score v7 inexistente,true,false,guardrail_preserved_review_only,true
S17C13_SAFE_0099,P2_SAR_RUNTIME_OR_EXPORT_PATH,17B inelegivel,true,false,guardrail_preserved_review_only,true
