delta_acceptance_id,candidate_patch_id,event_id,feature_name,pre_event_value,post_event_value,delta_value,pre_event_manifest_id,post_event_manifest_id,delta_value_real,pre_hash_verified,post_hash_verified,usable_as_observational_change_review_only,usable_as_pre_event_feature,usable_for_training,ground_truth,acceptance_status,blocking_reason,review_only
S17C22_DELTAACC_0011,S17C6_CANARY_REC_00002,REC_2022_05_24_30,B08_mean,8562.6289,4024.9501,-4537.6788,S17C20_MANIFEST_0002_A,S17C21_POSTMANIFEST_0002_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0012,S17C6_CANARY_REC_00002,REC_2022_05_24_30,B11_mean,5202.0936,2999.7264,-2202.3672,S17C20_MANIFEST_0002_A,S17C21_POSTMANIFEST_0002_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0013,S17C6_CANARY_REC_00002,REC_2022_05_24_30,NDVI_mean,-0.013726,0.346456,0.360182,S17C20_MANIFEST_0002_A,S17C21_POSTMANIFEST_0002_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0014,S17C6_CANARY_REC_00002,REC_2022_05_24_30,NDWI_mean,0.032069,-0.302214,-0.334283,S17C20_MANIFEST_0002_A,S17C21_POSTMANIFEST_0002_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0015,S17C6_CANARY_REC_00002,REC_2022_05_24_30,MNDWI_mean,0.260032,-0.166523,-0.426555,S17C20_MANIFEST_0002_A,S17C21_POSTMANIFEST_0002_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0016,S17C6_CANARY_REC_00002,REC_2022_05_24_30,NDBI_mean,-0.230879,-0.147890,0.082989,S17C20_MANIFEST_0002_A,S17C21_POSTMANIFEST_0002_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0017,S17C6_CANARY_REC_00003,REC_2022_05_24_30,B03_mean,2560.6969,2179.3275,-381.3694,S17C20_MANIFEST_0003_A,S17C21_POSTMANIFEST_0003_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0018,S17C6_CANARY_REC_00003,REC_2022_05_24_30,B04_mean,2433.4144,2091.1654,-342.2490,S17C20_MANIFEST_0003_A,S17C21_POSTMANIFEST_0003_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0019,S17C6_CANARY_REC_00003,REC_2022_05_24_30,B08_mean,3473.4278,3308.9855,-164.4423,S17C20_MANIFEST_0003_A,S17C21_POSTMANIFEST_0003_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0020,S17C6_CANARY_REC_00003,REC_2022_05_24_30,B11_mean,2961.0876,3072.9276,111.8400,S17C20_MANIFEST_0003_A,S17C21_POSTMANIFEST_0003_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0021,S17C6_CANARY_REC_00003,REC_2022_05_24_30,NDVI_mean,0.253900,0.333596,0.079696,S17C20_MANIFEST_0003_A,S17C21_POSTMANIFEST_0003_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0022,S17C6_CANARY_REC_00003,REC_2022_05_24_30,NDWI_mean,-0.220956,-0.324386,-0.103430,S17C20_MANIFEST_0003_A,S17C21_POSTMANIFEST_0003_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0023,S17C6_CANARY_REC_00003,REC_2022_05_24_30,MNDWI_mean,-0.152673,-0.309637,-0.156964,S17C20_MANIFEST_0003_A,S17C21_POSTMANIFEST_0003_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0024,S17C6_CANARY_REC_00003,REC_2022_05_24_30,NDBI_mean,-0.077395,-0.033738,0.043657,S17C20_MANIFEST_0003_A,S17C21_POSTMANIFEST_0003_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0025,S17C6_CANARY_REC_00004,REC_2022_05_24_30,B03_mean,4347.2613,1120.7809,-3226.4804,S17C20_MANIFEST_0004_A,S17C21_POSTMANIFEST_0004_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0026,S17C6_CANARY_REC_00004,REC_2022_05_24_30,B04_mean,4155.1559,1079.3067,-3075.8492,S17C20_MANIFEST_0004_A,S17C21_POSTMANIFEST_0004_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0027,S17C6_CANARY_REC_00004,REC_2022_05_24_30,B08_mean,4536.0877,2939.8507,-1596.2370,S17C20_MANIFEST_0004_A,S17C21_POSTMANIFEST_0004_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0028,S17C6_CANARY_REC_00004,REC_2022_05_24_30,B11_mean,3234.8384,2367.3683,-867.4701,S17C20_MANIFEST_0004_A,S17C21_POSTMANIFEST_0004_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0029,S17C6_CANARY_REC_00004,REC_2022_05_24_30,NDVI_mean,0.108950,0.484354,0.375404,S17C20_MANIFEST_0004_A,S17C21_POSTMANIFEST_0004_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0030,S17C6_CANARY_REC_00004,REC_2022_05_24_30,NDWI_mean,-0.080286,-0.464736,-0.384450,S17C20_MANIFEST_0004_A,S17C21_POSTMANIFEST_0004_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0031,S17C6_CANARY_REC_00004,REC_2022_05_24_30,MNDWI_mean,0.086020,-0.408718,-0.494738,S17C20_MANIFEST_0004_A,S17C21_POSTMANIFEST_0004_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0032,S17C6_CANARY_REC_00004,REC_2022_05_24_30,NDBI_mean,-0.166543,-0.091827,0.074716,S17C20_MANIFEST_0004_A,S17C21_POSTMANIFEST_0004_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0033,S17C6_CANARY_REC_00005,REC_2022_05_24_30,B03_mean,2506.0298,3516.3176,1010.2878,S17C20_MANIFEST_0005_A,S17C21_POSTMANIFEST_0005_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0034,S17C6_CANARY_REC_00005,REC_2022_05_24_30,B04_mean,2369.4530,3278.9709,909.5179,S17C20_MANIFEST_0005_A,S17C21_POSTMANIFEST_0005_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0035,S17C6_CANARY_REC_00005,REC_2022_05_24_30,B08_mean,3944.2619,4497.6265,553.3646,S17C20_MANIFEST_0005_A,S17C21_POSTMANIFEST_0005_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0036,S17C6_CANARY_REC_00005,REC_2022_05_24_30,B11_mean,3131.9310,3902.6317,770.7007,S17C20_MANIFEST_0005_A,S17C21_POSTMANIFEST_0005_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0037,S17C6_CANARY_REC_00005,REC_2022_05_24_30,NDVI_mean,0.313360,0.233772,-0.079588,S17C20_MANIFEST_0005_A,S17C21_POSTMANIFEST_0005_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0038,S17C6_CANARY_REC_00005,REC_2022_05_24_30,NDWI_mean,-0.282269,-0.196446,0.085823,S17C20_MANIFEST_0005_A,S17C21_POSTMANIFEST_0005_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0039,S17C6_CANARY_REC_00005,REC_2022_05_24_30,MNDWI_mean,-0.192382,-0.129162,0.063220,S17C20_MANIFEST_0005_A,S17C21_POSTMANIFEST_0005_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
S17C22_DELTAACC_0040,S17C6_CANARY_REC_00005,REC_2022_05_24_30,NDBI_mean,-0.102885,-0.078720,0.024165,S17C20_MANIFEST_0005_A,S17C21_POSTMANIFEST_0005_A,true,true,true,true,false,false,false,accepted_observational_change_review_only,not_applicable,true
