no_leakage_audit_id,object_id,object_type,uses_occurrence_as_feature,uses_canary_for_training,calibration_on_official_only,uses_canary_only_normalization,surrogate_validated_before_apply,final_score_computed,modifies_official_matrix,modifies_score_v6,uses_score_v7,uses_control_as_negative_truth,masks_calibrated_as_original,passes_no_leakage,blocking_reason,review_only
S17C39_LEAK_0001,recife_00004,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0015,recife_00205,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0016,recife_00222,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0017,recife_00224,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0018,recife_00227,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0019,recife_00228,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0020,recife_00229,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0021,recife_00243,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0022,recife_00245,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0023,recife_00247,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0024,recife_00250,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0025,recife_00260,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0026,recife_00266,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0027,recife_00267,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0028,recife_00268,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0029,recife_00270,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0030,recife_00271,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0031,recife_00276,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0032,recife_00279,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0033,recife_00284,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0034,recife_00289,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0035,recife_00290,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0036,recife_00291,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0037,recife_00292,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0038,recife_00293,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0039,recife_00294,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0040,recife_00296,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0041,recife_00299,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0042,recife_00302,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0043,recife_00306,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0044,recife_00311,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0045,recife_00313,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0046,recife_00314,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0047,recife_00316,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0048,recife_00317,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0049,recife_00322,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0050,recife_00330,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0051,recife_00331,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0052,recife_00333,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0053,recife_00335,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0054,recife_00337,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0055,recife_00338,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0056,recife_00344,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0057,recife_00354,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0058,recife_00355,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0059,recife_00356,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0060,recife_00357,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0061,recife_00363,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0062,recife_00364,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0063,recife_00386,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0064,recife_00388,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0065,recife_00410,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0066,recife_00412,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0067,recife_00413,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0068,recife_00414,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0069,recife_00433,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0070,recife_00458,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0071,recife_00460,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0072,recife_00462,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0073,recife_00464,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0074,recife_00466,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0075,recife_00481,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0076,recife_00482,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0077,recife_00483,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0078,recife_00487,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0079,recife_00489,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0080,recife_00499,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0081,recife_00501,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0082,recife_00502,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0083,recife_00503,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0084,recife_00504,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0085,recife_00505,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0086,recife_00506,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0087,recife_00511,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0088,recife_00512,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0089,recife_00522,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0090,recife_00525,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0091,recife_00526,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0092,recife_00527,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0093,recife_00528,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0094,recife_00529,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0095,recife_00532,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0096,recife_00533,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0097,recife_00548,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0098,recife_00550,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0099,recife_00551,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
S17C39_LEAK_0100,recife_00552,official_patch_calibration,false,false,true,false,true,false,false,false,false,false,false,true,calibracao so oficial; canario nao treina; review-only,true
