geometry_target_id,blocker_type,severity,field,reason_pt,prevents_geometry_priority_high,prevents_positive_strong,prevents_evaluation,prevents_calibration,how_to_resolve_pt,geometry_blocker_id
GEO_0092,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00017
GEO_0094,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00018
GEO_0095,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00019
GEO_0096,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00020
GEO_0097,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00021
GEO_0098,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00022
GEO_0099,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00023
GEO_0100,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00024
GEO_0101,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00025
GEO_0102,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00026
GEO_0103,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00027
GEO_0104,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00028
GEO_0105,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00029
GEO_0106,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00030
GEO_0107,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00031
GEO_0108,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00032
GEO_0109,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00033
GEO_0110,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00034
GEO_0111,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00035
GEO_0112,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00036
GEO_0113,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00037
GEO_0114,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00038
GEO_0115,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00039
GEO_0116,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00040
GEO_0117,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00041
GEO_0118,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00042
GEO_0119,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00043
GEO_0120,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00044
GEO_0121,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00045
GEO_0122,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00046
GEO_0123,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00047
GEO_0124,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00048
GEO_0125,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00049
GEO_0126,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00050
GEO_0127,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00051
GEO_0128,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00052
GEO_0129,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00053
GEO_0130,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00054
GEO_0131,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00055
GEO_0132,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00056
GEO_0133,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00057
GEO_0134,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00058
GEO_0135,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00059
GEO_0136,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00060
GEO_0137,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00061
GEO_0138,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00062
GEO_0139,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00063
GEO_0140,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00064
GEO_0141,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00065
GEO_0142,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00066
GEO_0143,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00067
GEO_0144,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00068
GEO_0145,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00069
GEO_0146,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00070
GEO_0147,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00071
GEO_0148,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00072
GEO_0149,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00073
GEO_0150,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00074
GEO_0151,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00075
GEO_0152,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00076
GEO_0153,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00077
GEO_0154,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00078
GEO_0155,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00079
GEO_0156,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00080
GEO_0157,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00081
GEO_0158,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00082
GEO_0159,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00083
GEO_0160,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00084
GEO_0161,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00085
GEO_0162,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00086
GEO_0163,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00087
GEO_0164,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00088
GEO_0165,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00089
GEO_0166,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00090
GEO_0167,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00091
GEO_0168,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00092
GEO_0169,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00093
GEO_0170,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00094
GEO_0171,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00095
GEO_0172,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00096
GEO_0173,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00097
GEO_0174,geometria_ausente,media,geometry_type,sem sinal geometrico util para aquisicao objetiva,true,true,false,true,buscar ponto/poligono oficial em base setorial ou preparar footprint SAR futuro,GBL_00098
GEO_0175,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00099
GEO_0176,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00100
GEO_0177,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00101
GEO_0178,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00102
GEO_0179,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00103
GEO_0180,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00104
GEO_0181,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00105
GEO_0182,geometria_ausente,media,geometry_type,sem sinal geometrico util para aquisicao objetiva,true,true,false,true,buscar ponto/poligono oficial em base setorial ou preparar footprint SAR futuro,GBL_00106
GEO_0183,geometria_ausente,media,geometry_type,sem sinal geometrico util para aquisicao objetiva,true,true,false,true,buscar ponto/poligono oficial em base setorial ou preparar footprint SAR futuro,GBL_00107
GEO_0184,phenomenon_mismatch_or_mixed_event,alta,phenomenon_type,Petropolis com fenomeno misto/deslizamento sem separacao,true,true,true,true,separar inundacao de deslizamento antes de adquirir geometria,GBL_00108
GEO_0185,phenomenon_mismatch_or_mixed_event,alta,phenomenon_type,Petropolis com fenomeno misto/deslizamento sem separacao,true,true,true,true,separar inundacao de deslizamento antes de adquirir geometria,GBL_00109
GEO_0189,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00110
GEO_0190,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00111
GEO_0191,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00112
GEO_0192,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00113
GEO_0193,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00114
GEO_0206,phenomenon_mismatch_or_mixed_event,alta,phenomenon_type,Petropolis com fenomeno misto/deslizamento sem separacao,true,true,true,true,separar inundacao de deslizamento antes de adquirir geometria,GBL_00115
GEO_0368,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00116
GEO_0369,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00117
GEO_0370,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00118
GEO_0371,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00119
GEO_0372,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00120
GEO_0373,geometria_ausente,media,geometry_type,sem sinal geometrico util para aquisicao objetiva,true,true,false,true,buscar ponto/poligono oficial em base setorial ou preparar footprint SAR futuro,GBL_00121
GEO_0374,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00122
GEO_0375,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00123
GEO_0376,geometria_ausente,media,geometry_type,sem sinal geometrico util para aquisicao objetiva,true,true,false,true,buscar ponto/poligono oficial em base setorial ou preparar footprint SAR futuro,GBL_00124
GEO_0377,geometria_ausente,media,geometry_type,sem sinal geometrico util para aquisicao objetiva,true,true,false,true,buscar ponto/poligono oficial em base setorial ou preparar footprint SAR futuro,GBL_00125
GEO_0378,geometria_ausente,media,geometry_type,sem sinal geometrico util para aquisicao objetiva,true,true,false,true,buscar ponto/poligono oficial em base setorial ou preparar footprint SAR futuro,GBL_00126
GEO_0379,phenomenon_mismatch_or_mixed_event,alta,phenomenon_type,Petropolis com fenomeno misto/deslizamento sem separacao,true,true,true,true,separar inundacao de deslizamento antes de adquirir geometria,GBL_00127
GEO_0380,phenomenon_mismatch_or_mixed_event,alta,phenomenon_type,Petropolis com fenomeno misto/deslizamento sem separacao,true,true,true,true,separar inundacao de deslizamento antes de adquirir geometria,GBL_00128
GEO_0381,phenomenon_mismatch_or_mixed_event,alta,phenomenon_type,Petropolis com fenomeno misto/deslizamento sem separacao,true,true,true,true,separar inundacao de deslizamento antes de adquirir geometria,GBL_00129
GEO_0382,phenomenon_mismatch_or_mixed_event,alta,phenomenon_type,Petropolis com fenomeno misto/deslizamento sem separacao,true,true,true,true,separar inundacao de deslizamento antes de adquirir geometria,GBL_00130
GEO_0383,geometria_ausente,media,geometry_type,sem sinal geometrico util para aquisicao objetiva,true,true,false,true,buscar ponto/poligono oficial em base setorial ou preparar footprint SAR futuro,GBL_00131
GEO_0384,geometria_ausente,media,geometry_type,sem sinal geometrico util para aquisicao objetiva,true,true,false,true,buscar ponto/poligono oficial em base setorial ou preparar footprint SAR futuro,GBL_00132
GEO_0385,phenomenon_mismatch_or_mixed_event,alta,phenomenon_type,Petropolis com fenomeno misto/deslizamento sem separacao,true,true,true,true,separar inundacao de deslizamento antes de adquirir geometria,GBL_00133
GEO_0386,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00134
GEO_0387,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00135
GEO_0388,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00136
GEO_0389,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00137
GEO_0390,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00138
GEO_0391,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00139
GEO_0392,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00140
GEO_0393,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00141
