plan_id,geometry_target_id,step_order,action_pt,expected_artifact_pt,success_criteria_pt,fail_closed_outcome_pt,manual_review_required,can_be_automated_future,requires_network_future,requires_official_source_future,requires_sar_future
GPL_00035,GEO_0016,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00036,GEO_0016,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00037,GEO_0017,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00038,GEO_0017,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00039,GEO_0017,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00040,GEO_0018,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00041,GEO_0018,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00042,GEO_0018,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00043,GEO_0019,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00044,GEO_0019,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00045,GEO_0019,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00046,GEO_0020,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00047,GEO_0020,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00048,GEO_0020,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00049,GEO_0020,4,validar/fortalecer o vinculo entre geometria e patch REV-P,patch_link_quality forte auditavel,patch_link_quality forte auditavel registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00050,GEO_0021,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00051,GEO_0021,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00052,GEO_0021,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00053,GEO_0022,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00054,GEO_0022,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00055,GEO_0022,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00056,GEO_0022,4,validar/fortalecer o vinculo entre geometria e patch REV-P,patch_link_quality forte auditavel,patch_link_quality forte auditavel registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00057,GEO_0023,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00058,GEO_0023,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00059,GEO_0023,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00060,GEO_0024,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00061,GEO_0024,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00062,GEO_0024,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00063,GEO_0025,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00064,GEO_0025,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00065,GEO_0025,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00066,GEO_0026,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00067,GEO_0026,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00068,GEO_0026,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00069,GEO_0027,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00070,GEO_0027,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00071,GEO_0027,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00072,GEO_0028,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00073,GEO_0028,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00074,GEO_0028,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00075,GEO_0029,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00076,GEO_0029,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00077,GEO_0029,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00078,GEO_0030,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00079,GEO_0030,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00080,GEO_0030,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00081,GEO_0031,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00082,GEO_0031,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00083,GEO_0031,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00084,GEO_0031,4,validar/fortalecer o vinculo entre geometria e patch REV-P,patch_link_quality forte auditavel,patch_link_quality forte auditavel registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00085,GEO_0032,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00086,GEO_0032,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00087,GEO_0032,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00088,GEO_0033,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00089,GEO_0033,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00090,GEO_0033,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00091,GEO_0033,4,validar/fortalecer o vinculo entre geometria e patch REV-P,patch_link_quality forte auditavel,patch_link_quality forte auditavel registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00092,GEO_0034,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00093,GEO_0034,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00094,GEO_0034,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00095,GEO_0035,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00096,GEO_0035,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00097,GEO_0035,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00098,GEO_0036,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00099,GEO_0036,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00100,GEO_0036,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00101,GEO_0037,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00102,GEO_0037,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00103,GEO_0037,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00104,GEO_0038,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00105,GEO_0038,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00106,GEO_0038,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00107,GEO_0039,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00108,GEO_0039,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00109,GEO_0039,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00110,GEO_0040,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00111,GEO_0040,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00112,GEO_0040,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00113,GEO_0040,4,validar/fortalecer o vinculo entre geometria e patch REV-P,patch_link_quality forte auditavel,patch_link_quality forte auditavel registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00114,GEO_0041,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00115,GEO_0041,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00116,GEO_0041,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00117,GEO_0042,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00118,GEO_0042,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00119,GEO_0042,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00120,GEO_0043,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
