availability_id,unified_patch_id,patch_family,sentinel2_status,chirps_status,terrain_status,hydrology_status,landcover_status,transparent_component_status,lineage_status,complete_family_count,missing_family_count,blocking_reason,review_only
S18A_AVAIL_0031,S18A_PATCH_0031,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0032,S18A_PATCH_0032,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0033,S18A_PATCH_0033,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0034,S18A_PATCH_0034,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0035,S18A_PATCH_0035,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0036,S18A_PATCH_0036,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0037,S18A_PATCH_0037,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0038,S18A_PATCH_0038,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0039,S18A_PATCH_0039,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0040,S18A_PATCH_0040,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0041,S18A_PATCH_0041,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0042,S18A_PATCH_0042,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0043,S18A_PATCH_0043,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0044,S18A_PATCH_0044,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0045,S18A_PATCH_0045,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0046,S18A_PATCH_0046,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0047,S18A_PATCH_0047,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0048,S18A_PATCH_0048,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0049,S18A_PATCH_0049,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0050,S18A_PATCH_0050,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0051,S18A_PATCH_0051,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0052,S18A_PATCH_0052,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0053,S18A_PATCH_0053,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0054,S18A_PATCH_0054,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0055,S18A_PATCH_0055,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0056,S18A_PATCH_0056,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0057,S18A_PATCH_0057,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0058,S18A_PATCH_0058,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0059,S18A_PATCH_0059,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0060,S18A_PATCH_0060,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0061,S18A_PATCH_0061,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0062,S18A_PATCH_0062,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0063,S18A_PATCH_0063,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0064,S18A_PATCH_0064,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0065,S18A_PATCH_0065,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0066,S18A_PATCH_0066,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0067,S18A_PATCH_0067,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0068,S18A_PATCH_0068,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0069,S18A_PATCH_0069,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0070,S18A_PATCH_0070,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0071,S18A_PATCH_0071,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0072,S18A_PATCH_0072,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0073,S18A_PATCH_0073,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0074,S18A_PATCH_0074,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0075,S18A_PATCH_0075,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0076,S18A_PATCH_0076,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0077,S18A_PATCH_0077,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0078,S18A_PATCH_0078,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0079,S18A_PATCH_0079,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0080,S18A_PATCH_0080,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0081,S18A_PATCH_0081,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0082,S18A_PATCH_0082,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0083,S18A_PATCH_0083,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0084,S18A_PATCH_0084,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0085,S18A_PATCH_0085,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0086,S18A_PATCH_0086,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0087,S18A_PATCH_0087,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0088,S18A_PATCH_0088,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0089,S18A_PATCH_0089,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0090,S18A_PATCH_0090,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0091,S18A_PATCH_0091,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0092,S18A_PATCH_0092,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0093,S18A_PATCH_0093,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0094,S18A_PATCH_0094,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0095,S18A_PATCH_0095,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0096,S18A_PATCH_0096,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0097,S18A_PATCH_0097,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0098,S18A_PATCH_0098,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0099,S18A_PATCH_0099,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0100,S18A_PATCH_0100,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0101,S18A_PATCH_0101,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0102,S18A_PATCH_0102,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0103,S18A_PATCH_0103,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0104,S18A_PATCH_0104,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0105,S18A_PATCH_0105,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0106,S18A_PATCH_0106,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0107,S18A_PATCH_0107,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0108,S18A_PATCH_0108,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0109,S18A_PATCH_0109,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0110,S18A_PATCH_0110,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0111,S18A_PATCH_0111,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0112,S18A_PATCH_0112,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0113,S18A_PATCH_0113,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0114,S18A_PATCH_0114,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0115,S18A_PATCH_0115,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0116,S18A_PATCH_0116,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0117,S18A_PATCH_0117,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0118,S18A_PATCH_0118,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0119,S18A_PATCH_0119,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0120,S18A_PATCH_0120,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0121,S18A_PATCH_0121,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0122,S18A_PATCH_0122,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0123,S18A_PATCH_0123,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0124,S18A_PATCH_0124,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0125,S18A_PATCH_0125,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0126,S18A_PATCH_0126,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0127,S18A_PATCH_0127,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0128,S18A_PATCH_0128,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0129,S18A_PATCH_0129,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0130,S18A_PATCH_0130,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0131,S18A_PATCH_0131,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0132,S18A_PATCH_0132,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0133,S18A_PATCH_0133,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0134,S18A_PATCH_0134,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0135,S18A_PATCH_0135,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0136,S18A_PATCH_0136,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0137,S18A_PATCH_0137,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0138,S18A_PATCH_0138,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0139,S18A_PATCH_0139,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0140,S18A_PATCH_0140,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0141,S18A_PATCH_0141,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0142,S18A_PATCH_0142,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0143,S18A_PATCH_0143,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0144,S18A_PATCH_0144,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0145,S18A_PATCH_0145,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0146,S18A_PATCH_0146,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0147,S18A_PATCH_0147,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0148,S18A_PATCH_0148,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0149,S18A_PATCH_0149,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0150,S18A_PATCH_0150,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0151,S18A_PATCH_0151,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0152,S18A_PATCH_0152,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0153,S18A_PATCH_0153,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0154,S18A_PATCH_0154,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0155,S18A_PATCH_0155,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0156,S18A_PATCH_0156,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0157,S18A_PATCH_0157,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0158,S18A_PATCH_0158,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0159,S18A_PATCH_0159,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0160,S18A_PATCH_0160,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0161,S18A_PATCH_0161,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0162,S18A_PATCH_0162,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0163,S18A_PATCH_0163,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0164,S18A_PATCH_0164,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0165,S18A_PATCH_0165,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0166,S18A_PATCH_0166,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0167,S18A_PATCH_0167,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0168,S18A_PATCH_0168,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0169,S18A_PATCH_0169,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0170,S18A_PATCH_0170,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0171,S18A_PATCH_0171,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0172,S18A_PATCH_0172,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0173,S18A_PATCH_0173,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0174,S18A_PATCH_0174,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0175,S18A_PATCH_0175,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0176,S18A_PATCH_0176,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0177,S18A_PATCH_0177,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0178,S18A_PATCH_0178,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0179,S18A_PATCH_0179,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0180,S18A_PATCH_0180,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0181,S18A_PATCH_0181,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0182,S18A_PATCH_0182,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0183,S18A_PATCH_0183,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0184,S18A_PATCH_0184,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0185,S18A_PATCH_0185,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0186,S18A_PATCH_0186,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0187,S18A_PATCH_0187,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0188,S18A_PATCH_0188,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0189,S18A_PATCH_0189,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0190,S18A_PATCH_0190,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0191,S18A_PATCH_0191,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0192,S18A_PATCH_0192,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0193,S18A_PATCH_0193,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0194,S18A_PATCH_0194,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0195,S18A_PATCH_0195,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0196,S18A_PATCH_0196,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0197,S18A_PATCH_0197,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0198,S18A_PATCH_0198,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0199,S18A_PATCH_0199,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0200,S18A_PATCH_0200,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0201,S18A_PATCH_0201,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0202,S18A_PATCH_0202,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0203,S18A_PATCH_0203,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
