no_leakage_audit_id,candidate_patch_id,event_id,object_id,object_type,uses_pre_event_data_only_for_sensor_feature,uses_post_event_as_pre_event_feature,uses_delta_as_training_label,uses_ground_reference_as_feature,uses_synthetic_as_real,passes_no_leakage,blocking_reason,review_only
S17C22_LEAK_0011,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S17C22_FEATACC_0011,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0012,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S17C22_FEATACC_0012,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0013,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S17C22_FEATACC_0013,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0014,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S17C22_FEATACC_0014,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0015,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S17C22_FEATACC_0015,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0016,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S17C22_FEATACC_0016,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0017,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S17C22_FEATACC_0017,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0018,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S17C22_FEATACC_0018,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0019,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S17C22_FEATACC_0019,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0020,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S17C22_FEATACC_0020,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0021,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S17C22_FEATACC_0021,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0022,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S17C22_FEATACC_0022,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0023,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S17C22_FEATACC_0023,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0024,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S17C22_FEATACC_0024,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0025,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S17C22_FEATACC_0025,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0026,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S17C22_FEATACC_0026,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0027,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S17C22_FEATACC_0027,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0028,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S17C22_FEATACC_0028,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0029,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S17C22_FEATACC_0029,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0030,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S17C22_FEATACC_0030,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0031,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S17C22_FEATACC_0031,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0032,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S17C22_FEATACC_0032,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0033,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S17C22_FEATACC_0033,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0034,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S17C22_FEATACC_0034,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0035,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S17C22_FEATACC_0035,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0036,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S17C22_FEATACC_0036,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0037,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S17C22_FEATACC_0037,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0038,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S17C22_FEATACC_0038,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0039,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S17C22_FEATACC_0039,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0040,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S17C22_FEATACC_0040,pre_event_sensor_feature,true,false,false,false,false,true,feature pre-evento review-only sem vazamento,true
S17C22_LEAK_0041,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C22_DELTAACC_0001,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0042,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C22_DELTAACC_0002,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0043,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C22_DELTAACC_0003,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0044,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C22_DELTAACC_0004,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0045,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C22_DELTAACC_0005,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0046,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C22_DELTAACC_0006,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0047,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C22_DELTAACC_0007,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0048,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S17C22_DELTAACC_0008,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0049,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S17C22_DELTAACC_0009,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0050,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S17C22_DELTAACC_0010,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0051,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S17C22_DELTAACC_0011,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0052,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S17C22_DELTAACC_0012,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0053,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S17C22_DELTAACC_0013,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0054,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S17C22_DELTAACC_0014,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0055,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S17C22_DELTAACC_0015,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0056,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S17C22_DELTAACC_0016,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0057,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S17C22_DELTAACC_0017,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0058,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S17C22_DELTAACC_0018,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0059,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S17C22_DELTAACC_0019,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0060,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S17C22_DELTAACC_0020,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0061,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S17C22_DELTAACC_0021,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0062,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S17C22_DELTAACC_0022,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0063,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S17C22_DELTAACC_0023,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0064,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S17C22_DELTAACC_0024,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0065,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S17C22_DELTAACC_0025,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0066,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S17C22_DELTAACC_0026,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0067,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S17C22_DELTAACC_0027,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0068,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S17C22_DELTAACC_0028,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0069,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S17C22_DELTAACC_0029,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0070,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S17C22_DELTAACC_0030,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0071,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S17C22_DELTAACC_0031,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0072,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S17C22_DELTAACC_0032,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0073,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S17C22_DELTAACC_0033,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0074,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S17C22_DELTAACC_0034,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0075,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S17C22_DELTAACC_0035,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0076,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S17C22_DELTAACC_0036,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0077,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S17C22_DELTAACC_0037,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0078,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S17C22_DELTAACC_0038,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0079,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S17C22_DELTAACC_0039,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
S17C22_LEAK_0080,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S17C22_DELTAACC_0040,observational_delta,true,false,false,false,false,true,delta observacional review-only; nunca label,true
