scientific_feature_acceptance_id,candidate_patch_id,event_id,scene_or_item_id,feature_name,feature_value,feature_unit,source_artifact_manifest_id,source_role,prior_acceptance_status,fallback_scientific_resolved,patch_usage_accepted,acceptance_status,usable_for_science_now,usable_for_training,ground_truth,eligible_for_score_v7,eligible_for_17b,remaining_limitation,review_only
S17C23_SCIFEAT_0013,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,NDVI_mean,-0.013726,ratio,S17C20_MANIFEST_0002_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0014,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,NDWI_mean,0.032069,ratio,S17C20_MANIFEST_0002_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0015,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,MNDWI_mean,0.260032,ratio,S17C20_MANIFEST_0002_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0016,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,NDBI_mean,-0.230879,ratio,S17C20_MANIFEST_0002_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0017,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B03_mean,2560.6969,reflectance_dn,S17C20_MANIFEST_0003_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0018,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B04_mean,2433.4144,reflectance_dn,S17C20_MANIFEST_0003_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0019,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B08_mean,3473.4278,reflectance_dn,S17C20_MANIFEST_0003_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0020,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B11_mean,2961.0876,reflectance_dn,S17C20_MANIFEST_0003_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0021,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,NDVI_mean,0.253900,ratio,S17C20_MANIFEST_0003_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0022,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,NDWI_mean,-0.220956,ratio,S17C20_MANIFEST_0003_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0023,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,MNDWI_mean,-0.152673,ratio,S17C20_MANIFEST_0003_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0024,S17C6_CANARY_REC_00003,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,NDBI_mean,-0.077395,ratio,S17C20_MANIFEST_0003_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0025,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B03_mean,4347.2613,reflectance_dn,S17C20_MANIFEST_0004_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0026,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B04_mean,4155.1559,reflectance_dn,S17C20_MANIFEST_0004_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0027,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B08_mean,4536.0877,reflectance_dn,S17C20_MANIFEST_0004_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0028,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B11_mean,3234.8384,reflectance_dn,S17C20_MANIFEST_0004_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0029,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,NDVI_mean,0.108950,ratio,S17C20_MANIFEST_0004_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0030,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,NDWI_mean,-0.080286,ratio,S17C20_MANIFEST_0004_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0031,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,MNDWI_mean,0.086020,ratio,S17C20_MANIFEST_0004_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0032,S17C6_CANARY_REC_00004,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,NDBI_mean,-0.166543,ratio,S17C20_MANIFEST_0004_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0033,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B03_mean,2506.0298,reflectance_dn,S17C20_MANIFEST_0005_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0034,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B04_mean,2369.4530,reflectance_dn,S17C20_MANIFEST_0005_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0035,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B08_mean,3944.2619,reflectance_dn,S17C20_MANIFEST_0005_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0036,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B11_mean,3131.9310,reflectance_dn,S17C20_MANIFEST_0005_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0037,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,NDVI_mean,0.313360,ratio,S17C20_MANIFEST_0005_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0038,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,NDWI_mean,-0.282269,ratio,S17C20_MANIFEST_0005_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0039,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,MNDWI_mean,-0.192382,ratio,S17C20_MANIFEST_0005_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0040,S17C6_CANARY_REC_00005,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,NDBI_mean,-0.102885,ratio,S17C20_MANIFEST_0005_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
