gate_transition_id,source_id,candidate_patch_id,event_id,gate_group,gate_name,transition_from,transition_to,transition_reason,artifact_manifest_id,sha256,review_only
S17C30_LEDGER_0011,S17C30_SRC_C28_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,spatial_subgate,G4a_location_text_present,not_evaluated_as_subgate,true,cidade/bairro/logradouro textual,S17C28_ART_0002,e8d44f217268ac40dee579a51865367f05f4f99dab06a09f9da151babcb78191,true
S17C30_LEDGER_0012,S17C30_SRC_C28_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,spatial_subgate,G4b_geocodable_locality_present,not_evaluated_as_subgate,true,bairro/logradouro geocodavel sem coordenada inventada,S17C28_ART_0002,e8d44f217268ac40dee579a51865367f05f4f99dab06a09f9da151babcb78191,true
S17C30_LEDGER_0013,S17C30_SRC_C28_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,phenomenon_subgate,G5a_hydrological_signal_present,not_evaluated_as_subgate,true,alagamento/inundacao/enchente/enxurrada,S17C28_ART_0002,e8d44f217268ac40dee579a51865367f05f4f99dab06a09f9da151babcb78191,true
S17C30_LEDGER_0014,S17C30_SRC_C28_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,phenomenon_subgate,G5b_mass_movement_signal_present,not_evaluated_as_subgate,true,deslizamento/barreira/movimento de massa,S17C28_ART_0002,e8d44f217268ac40dee579a51865367f05f4f99dab06a09f9da151babcb78191,true
S17C30_LEDGER_0015,S17C30_SRC_C28_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,phenomenon_subgate,G5c_mixed_phenomenon_detected,not_evaluated_as_subgate,true,fenomeno misto detectado,S17C28_ART_0002,e8d44f217268ac40dee579a51865367f05f4f99dab06a09f9da151babcb78191,true
S17C30_LEDGER_0016,S17C30_SRC_C28_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G1_documentary_existence,not_evaluated_as_subgate,true,artefato adquirido + evento/local especifico,S17C28_ART_0003,1f0a0835407fbf39c1257e152ab1ded25375e0efea12a24af3c74df81e244086,true
S17C30_LEDGER_0017,S17C30_SRC_C28_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G2_source_authority,not_evaluated_as_subgate,true,fonte oficial institucional publica,S17C28_ART_0003,1f0a0835407fbf39c1257e152ab1ded25375e0efea12a24af3c74df81e244086,true
S17C30_LEDGER_0018,S17C30_SRC_C28_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G3_temporal_signal,not_evaluated_as_subgate,true,data/periodo do evento presente no texto,S17C28_ART_0003,1f0a0835407fbf39c1257e152ab1ded25375e0efea12a24af3c74df81e244086,true
S17C30_LEDGER_0019,S17C30_SRC_C28_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G6_provenance_integrity,not_evaluated_as_subgate,true,sha256 + manifesto + artifact path,S17C28_ART_0003,1f0a0835407fbf39c1257e152ab1ded25375e0efea12a24af3c74df81e244086,true
S17C30_LEDGER_0020,S17C30_SRC_C28_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G7_anti_leakage,not_evaluated_as_subgate,true,fail-closed contra GT/label/score,S17C28_ART_0003,1f0a0835407fbf39c1257e152ab1ded25375e0efea12a24af3c74df81e244086,true
S17C30_LEDGER_0021,S17C30_SRC_C28_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,spatial_subgate,G4a_location_text_present,not_evaluated_as_subgate,true,cidade/bairro/logradouro textual,S17C28_ART_0003,1f0a0835407fbf39c1257e152ab1ded25375e0efea12a24af3c74df81e244086,true
S17C30_LEDGER_0022,S17C30_SRC_C28_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,phenomenon_subgate,G5a_hydrological_signal_present,not_evaluated_as_subgate,true,alagamento/inundacao/enchente/enxurrada,S17C28_ART_0003,1f0a0835407fbf39c1257e152ab1ded25375e0efea12a24af3c74df81e244086,true
S17C30_LEDGER_0023,S17C30_SRC_C28_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,phenomenon_subgate,G5b_mass_movement_signal_present,not_evaluated_as_subgate,true,deslizamento/barreira/movimento de massa,S17C28_ART_0003,1f0a0835407fbf39c1257e152ab1ded25375e0efea12a24af3c74df81e244086,true
S17C30_LEDGER_0024,S17C30_SRC_C28_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,phenomenon_subgate,G5c_mixed_phenomenon_detected,not_evaluated_as_subgate,true,fenomeno misto detectado,S17C28_ART_0003,1f0a0835407fbf39c1257e152ab1ded25375e0efea12a24af3c74df81e244086,true
S17C30_LEDGER_0025,S17C30_SRC_C28_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G1_documentary_existence,not_evaluated_as_subgate,true,artefato adquirido + evento/local especifico,S17C28_ART_0004,a86449bec89f66e0822d07788191b6671a2d30fb3d7dd13cfa6802330d74b299,true
S17C30_LEDGER_0026,S17C30_SRC_C28_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G2_source_authority,not_evaluated_as_subgate,true,fonte oficial institucional publica,S17C28_ART_0004,a86449bec89f66e0822d07788191b6671a2d30fb3d7dd13cfa6802330d74b299,true
S17C30_LEDGER_0027,S17C30_SRC_C28_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G3_temporal_signal,not_evaluated_as_subgate,true,data/periodo do evento presente no texto,S17C28_ART_0004,a86449bec89f66e0822d07788191b6671a2d30fb3d7dd13cfa6802330d74b299,true
S17C30_LEDGER_0028,S17C30_SRC_C28_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G6_provenance_integrity,not_evaluated_as_subgate,true,sha256 + manifesto + artifact path,S17C28_ART_0004,a86449bec89f66e0822d07788191b6671a2d30fb3d7dd13cfa6802330d74b299,true
S17C30_LEDGER_0029,S17C30_SRC_C28_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G7_anti_leakage,not_evaluated_as_subgate,true,fail-closed contra GT/label/score,S17C28_ART_0004,a86449bec89f66e0822d07788191b6671a2d30fb3d7dd13cfa6802330d74b299,true
S17C30_LEDGER_0030,S17C30_SRC_C28_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,spatial_subgate,G4a_location_text_present,not_evaluated_as_subgate,true,cidade/bairro/logradouro textual,S17C28_ART_0004,a86449bec89f66e0822d07788191b6671a2d30fb3d7dd13cfa6802330d74b299,true
S17C30_LEDGER_0031,S17C30_SRC_C28_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,spatial_subgate,G4b_geocodable_locality_present,not_evaluated_as_subgate,true,bairro/logradouro geocodavel sem coordenada inventada,S17C28_ART_0004,a86449bec89f66e0822d07788191b6671a2d30fb3d7dd13cfa6802330d74b299,true
S17C30_LEDGER_0032,S17C30_SRC_C28_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,phenomenon_subgate,G5b_mass_movement_signal_present,not_evaluated_as_subgate,true,deslizamento/barreira/movimento de massa,S17C28_ART_0004,a86449bec89f66e0822d07788191b6671a2d30fb3d7dd13cfa6802330d74b299,true
S17C30_LEDGER_0033,S17C30_SRC_C28_0005,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G1_documentary_existence,not_evaluated_as_subgate,true,artefato adquirido + evento/local especifico,S17C28_ART_0005,1c844d10f4cbbfc10e9852c59d6c40bb3cfe3ac80e64a9f7f62450ded19f6055,true
S17C30_LEDGER_0034,S17C30_SRC_C28_0005,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G2_source_authority,not_evaluated_as_subgate,true,fonte oficial institucional publica,S17C28_ART_0005,1c844d10f4cbbfc10e9852c59d6c40bb3cfe3ac80e64a9f7f62450ded19f6055,true
S17C30_LEDGER_0035,S17C30_SRC_C28_0005,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G3_temporal_signal,not_evaluated_as_subgate,true,data/periodo do evento presente no texto,S17C28_ART_0005,1c844d10f4cbbfc10e9852c59d6c40bb3cfe3ac80e64a9f7f62450ded19f6055,true
S17C30_LEDGER_0036,S17C30_SRC_C28_0005,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G6_provenance_integrity,not_evaluated_as_subgate,true,sha256 + manifesto + artifact path,S17C28_ART_0005,1c844d10f4cbbfc10e9852c59d6c40bb3cfe3ac80e64a9f7f62450ded19f6055,true
S17C30_LEDGER_0037,S17C30_SRC_C28_0005,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G7_anti_leakage,not_evaluated_as_subgate,true,fail-closed contra GT/label/score,S17C28_ART_0005,1c844d10f4cbbfc10e9852c59d6c40bb3cfe3ac80e64a9f7f62450ded19f6055,true
S17C30_LEDGER_0038,S17C30_SRC_C28_0005,S17C6_CANARY_REC_00001,REC_2022_05_24_30,spatial_subgate,G4a_location_text_present,not_evaluated_as_subgate,true,cidade/bairro/logradouro textual,S17C28_ART_0005,1c844d10f4cbbfc10e9852c59d6c40bb3cfe3ac80e64a9f7f62450ded19f6055,true
S17C30_LEDGER_0039,S17C30_SRC_C28_0005,S17C6_CANARY_REC_00001,REC_2022_05_24_30,phenomenon_subgate,G5b_mass_movement_signal_present,not_evaluated_as_subgate,true,deslizamento/barreira/movimento de massa,S17C28_ART_0005,1c844d10f4cbbfc10e9852c59d6c40bb3cfe3ac80e64a9f7f62450ded19f6055,true
S17C30_LEDGER_0040,S17C30_SRC_C29_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G1_documentary_existence,not_evaluated_as_subgate,true,artefato adquirido + evento/local especifico,S17C29_ART_0001,63e2ccb1beab94ceae60042704bb91a670a76d2c87077edcf16f92577ddcec85,true
S17C30_LEDGER_0041,S17C30_SRC_C29_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G2_source_authority,not_evaluated_as_subgate,true,fonte oficial institucional publica,S17C29_ART_0001,63e2ccb1beab94ceae60042704bb91a670a76d2c87077edcf16f92577ddcec85,true
S17C30_LEDGER_0042,S17C30_SRC_C29_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G3_temporal_signal,not_evaluated_as_subgate,true,data/periodo do evento presente no texto,S17C29_ART_0001,63e2ccb1beab94ceae60042704bb91a670a76d2c87077edcf16f92577ddcec85,true
S17C30_LEDGER_0043,S17C30_SRC_C29_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G6_provenance_integrity,not_evaluated_as_subgate,true,sha256 + manifesto + artifact path,S17C29_ART_0001,63e2ccb1beab94ceae60042704bb91a670a76d2c87077edcf16f92577ddcec85,true
S17C30_LEDGER_0044,S17C30_SRC_C29_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G7_anti_leakage,not_evaluated_as_subgate,true,fail-closed contra GT/label/score,S17C29_ART_0001,63e2ccb1beab94ceae60042704bb91a670a76d2c87077edcf16f92577ddcec85,true
S17C30_LEDGER_0045,S17C30_SRC_C29_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,spatial_subgate,G4a_location_text_present,not_evaluated_as_subgate,true,cidade/bairro/logradouro textual,S17C29_ART_0001,63e2ccb1beab94ceae60042704bb91a670a76d2c87077edcf16f92577ddcec85,true
S17C30_LEDGER_0046,S17C30_SRC_C29_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,spatial_subgate,G4b_geocodable_locality_present,not_evaluated_as_subgate,true,bairro/logradouro geocodavel sem coordenada inventada,S17C29_ART_0001,63e2ccb1beab94ceae60042704bb91a670a76d2c87077edcf16f92577ddcec85,true
S17C30_LEDGER_0047,S17C30_SRC_C29_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,phenomenon_subgate,G5b_mass_movement_signal_present,not_evaluated_as_subgate,true,deslizamento/barreira/movimento de massa,S17C29_ART_0001,63e2ccb1beab94ceae60042704bb91a670a76d2c87077edcf16f92577ddcec85,true
S17C30_LEDGER_0048,S17C30_SRC_C29_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G1_documentary_existence,not_evaluated_as_subgate,true,artefato adquirido + evento/local especifico,S17C29_ART_0002,89f3e118342d3afaadc8f6b52c2f17cee1abcf1f0eea6a35e1cacf3494d55608,true
S17C30_LEDGER_0049,S17C30_SRC_C29_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G2_source_authority,not_evaluated_as_subgate,true,fonte oficial institucional publica,S17C29_ART_0002,89f3e118342d3afaadc8f6b52c2f17cee1abcf1f0eea6a35e1cacf3494d55608,true
S17C30_LEDGER_0050,S17C30_SRC_C29_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G3_temporal_signal,not_evaluated_as_subgate,true,data/periodo do evento presente no texto,S17C29_ART_0002,89f3e118342d3afaadc8f6b52c2f17cee1abcf1f0eea6a35e1cacf3494d55608,true
S17C30_LEDGER_0051,S17C30_SRC_C29_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G6_provenance_integrity,not_evaluated_as_subgate,true,sha256 + manifesto + artifact path,S17C29_ART_0002,89f3e118342d3afaadc8f6b52c2f17cee1abcf1f0eea6a35e1cacf3494d55608,true
S17C30_LEDGER_0052,S17C30_SRC_C29_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G7_anti_leakage,not_evaluated_as_subgate,true,fail-closed contra GT/label/score,S17C29_ART_0002,89f3e118342d3afaadc8f6b52c2f17cee1abcf1f0eea6a35e1cacf3494d55608,true
S17C30_LEDGER_0053,S17C30_SRC_C29_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,spatial_subgate,G4a_location_text_present,not_evaluated_as_subgate,true,cidade/bairro/logradouro textual,S17C29_ART_0002,89f3e118342d3afaadc8f6b52c2f17cee1abcf1f0eea6a35e1cacf3494d55608,true
S17C30_LEDGER_0054,S17C30_SRC_C29_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,spatial_subgate,G4b_geocodable_locality_present,not_evaluated_as_subgate,true,bairro/logradouro geocodavel sem coordenada inventada,S17C29_ART_0002,89f3e118342d3afaadc8f6b52c2f17cee1abcf1f0eea6a35e1cacf3494d55608,true
S17C30_LEDGER_0055,S17C30_SRC_C29_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G1_documentary_existence,not_evaluated_as_subgate,true,artefato adquirido + evento/local especifico,S17C29_ART_0003,2079b4d9bb3195fc3543a81fbd1bbf51f20b5bd40fa48bb5ebe89c354c0bb778,true
S17C30_LEDGER_0056,S17C30_SRC_C29_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G2_source_authority,not_evaluated_as_subgate,true,fonte oficial institucional publica,S17C29_ART_0003,2079b4d9bb3195fc3543a81fbd1bbf51f20b5bd40fa48bb5ebe89c354c0bb778,true
S17C30_LEDGER_0057,S17C30_SRC_C29_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G3_temporal_signal,not_evaluated_as_subgate,true,data/periodo do evento presente no texto,S17C29_ART_0003,2079b4d9bb3195fc3543a81fbd1bbf51f20b5bd40fa48bb5ebe89c354c0bb778,true
S17C30_LEDGER_0058,S17C30_SRC_C29_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G6_provenance_integrity,not_evaluated_as_subgate,true,sha256 + manifesto + artifact path,S17C29_ART_0003,2079b4d9bb3195fc3543a81fbd1bbf51f20b5bd40fa48bb5ebe89c354c0bb778,true
S17C30_LEDGER_0059,S17C30_SRC_C29_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G7_anti_leakage,not_evaluated_as_subgate,true,fail-closed contra GT/label/score,S17C29_ART_0003,2079b4d9bb3195fc3543a81fbd1bbf51f20b5bd40fa48bb5ebe89c354c0bb778,true
S17C30_LEDGER_0060,S17C30_SRC_C29_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,spatial_subgate,G4a_location_text_present,not_evaluated_as_subgate,true,cidade/bairro/logradouro textual,S17C29_ART_0003,2079b4d9bb3195fc3543a81fbd1bbf51f20b5bd40fa48bb5ebe89c354c0bb778,true
S17C30_LEDGER_0061,S17C30_SRC_C29_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,spatial_subgate,G4b_geocodable_locality_present,not_evaluated_as_subgate,true,bairro/logradouro geocodavel sem coordenada inventada,S17C29_ART_0003,2079b4d9bb3195fc3543a81fbd1bbf51f20b5bd40fa48bb5ebe89c354c0bb778,true
S17C30_LEDGER_0062,S17C30_SRC_C29_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G1_documentary_existence,not_evaluated_as_subgate,true,artefato adquirido + evento/local especifico,S17C29_ART_0004,5af73b596fb267758813687afb5538bf67b481401bdb1904be03caa79665e811,true
S17C30_LEDGER_0063,S17C30_SRC_C29_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G2_source_authority,not_evaluated_as_subgate,true,fonte oficial institucional publica,S17C29_ART_0004,5af73b596fb267758813687afb5538bf67b481401bdb1904be03caa79665e811,true
S17C30_LEDGER_0064,S17C30_SRC_C29_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G3_temporal_signal,not_evaluated_as_subgate,true,data/periodo do evento presente no texto,S17C29_ART_0004,5af73b596fb267758813687afb5538bf67b481401bdb1904be03caa79665e811,true
S17C30_LEDGER_0065,S17C30_SRC_C29_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G6_provenance_integrity,not_evaluated_as_subgate,true,sha256 + manifesto + artifact path,S17C29_ART_0004,5af73b596fb267758813687afb5538bf67b481401bdb1904be03caa79665e811,true
S17C30_LEDGER_0066,S17C30_SRC_C29_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G7_anti_leakage,not_evaluated_as_subgate,true,fail-closed contra GT/label/score,S17C29_ART_0004,5af73b596fb267758813687afb5538bf67b481401bdb1904be03caa79665e811,true
S17C30_LEDGER_0067,S17C30_SRC_C29_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,spatial_subgate,G4a_location_text_present,not_evaluated_as_subgate,true,cidade/bairro/logradouro textual,S17C29_ART_0004,5af73b596fb267758813687afb5538bf67b481401bdb1904be03caa79665e811,true
S17C30_LEDGER_0068,S17C30_SRC_C29_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,spatial_subgate,G4b_geocodable_locality_present,not_evaluated_as_subgate,true,bairro/logradouro geocodavel sem coordenada inventada,S17C29_ART_0004,5af73b596fb267758813687afb5538bf67b481401bdb1904be03caa79665e811,true
S17C30_LEDGER_0069,S17C30_SRC_C29_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,phenomenon_subgate,G5b_mass_movement_signal_present,not_evaluated_as_subgate,true,deslizamento/barreira/movimento de massa,S17C29_ART_0004,5af73b596fb267758813687afb5538bf67b481401bdb1904be03caa79665e811,true
S17C30_LEDGER_0070,S17C30_SRC_C29_0005,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G1_documentary_existence,not_evaluated_as_subgate,true,artefato adquirido + evento/local especifico,S17C29_ART_0005,a86f07ee5118c16093aece52075bc741c6af0cdcae88acd3beb4a4c025b3cc7b,true
S17C30_LEDGER_0071,S17C30_SRC_C29_0005,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G2_source_authority,not_evaluated_as_subgate,true,fonte oficial institucional publica,S17C29_ART_0005,a86f07ee5118c16093aece52075bc741c6af0cdcae88acd3beb4a4c025b3cc7b,true
S17C30_LEDGER_0072,S17C30_SRC_C29_0005,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G3_temporal_signal,not_evaluated_as_subgate,true,data/periodo do evento presente no texto,S17C29_ART_0005,a86f07ee5118c16093aece52075bc741c6af0cdcae88acd3beb4a4c025b3cc7b,true
S17C30_LEDGER_0073,S17C30_SRC_C29_0005,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G6_provenance_integrity,not_evaluated_as_subgate,true,sha256 + manifesto + artifact path,S17C29_ART_0005,a86f07ee5118c16093aece52075bc741c6af0cdcae88acd3beb4a4c025b3cc7b,true
S17C30_LEDGER_0074,S17C30_SRC_C29_0005,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G7_anti_leakage,not_evaluated_as_subgate,true,fail-closed contra GT/label/score,S17C29_ART_0005,a86f07ee5118c16093aece52075bc741c6af0cdcae88acd3beb4a4c025b3cc7b,true
S17C30_LEDGER_0075,S17C30_SRC_C29_0005,S17C6_CANARY_REC_00001,REC_2022_05_24_30,spatial_subgate,G4a_location_text_present,not_evaluated_as_subgate,true,cidade/bairro/logradouro textual,S17C29_ART_0005,a86f07ee5118c16093aece52075bc741c6af0cdcae88acd3beb4a4c025b3cc7b,true
S17C30_LEDGER_0076,S17C30_SRC_C29_0005,S17C6_CANARY_REC_00001,REC_2022_05_24_30,spatial_subgate,G4b_geocodable_locality_present,not_evaluated_as_subgate,true,bairro/logradouro geocodavel sem coordenada inventada,S17C29_ART_0005,a86f07ee5118c16093aece52075bc741c6af0cdcae88acd3beb4a4c025b3cc7b,true
S17C30_LEDGER_0077,S17C30_SRC_C29_0006,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G1_documentary_existence,not_evaluated_as_subgate,true,artefato adquirido + evento/local especifico,S17C29_ART_0006,5adef5a109ad68eabeba23a5d201c8a0efb3bc29552fbe294d1652615f39463f,true
S17C30_LEDGER_0078,S17C30_SRC_C29_0006,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G2_source_authority,not_evaluated_as_subgate,true,fonte oficial institucional publica,S17C29_ART_0006,5adef5a109ad68eabeba23a5d201c8a0efb3bc29552fbe294d1652615f39463f,true
S17C30_LEDGER_0079,S17C30_SRC_C29_0006,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G3_temporal_signal,not_evaluated_as_subgate,true,data/periodo do evento presente no texto,S17C29_ART_0006,5adef5a109ad68eabeba23a5d201c8a0efb3bc29552fbe294d1652615f39463f,true
S17C30_LEDGER_0080,S17C30_SRC_C29_0006,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G6_provenance_integrity,not_evaluated_as_subgate,true,sha256 + manifesto + artifact path,S17C29_ART_0006,5adef5a109ad68eabeba23a5d201c8a0efb3bc29552fbe294d1652615f39463f,true
S17C30_LEDGER_0081,S17C30_SRC_C29_0006,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G7_anti_leakage,not_evaluated_as_subgate,true,fail-closed contra GT/label/score,S17C29_ART_0006,5adef5a109ad68eabeba23a5d201c8a0efb3bc29552fbe294d1652615f39463f,true
S17C30_LEDGER_0082,S17C30_SRC_C29_0006,S17C6_CANARY_REC_00001,REC_2022_05_24_30,spatial_subgate,G4a_location_text_present,not_evaluated_as_subgate,true,cidade/bairro/logradouro textual,S17C29_ART_0006,5adef5a109ad68eabeba23a5d201c8a0efb3bc29552fbe294d1652615f39463f,true
S17C30_LEDGER_0083,S17C30_SRC_C29_0006,S17C6_CANARY_REC_00001,REC_2022_05_24_30,spatial_subgate,G4b_geocodable_locality_present,not_evaluated_as_subgate,true,bairro/logradouro geocodavel sem coordenada inventada,S17C29_ART_0006,5adef5a109ad68eabeba23a5d201c8a0efb3bc29552fbe294d1652615f39463f,true
S17C30_LEDGER_0084,S17C30_SRC_C29_0006,S17C6_CANARY_REC_00001,REC_2022_05_24_30,phenomenon_subgate,G5a_hydrological_signal_present,not_evaluated_as_subgate,true,alagamento/inundacao/enchente/enxurrada,S17C29_ART_0006,5adef5a109ad68eabeba23a5d201c8a0efb3bc29552fbe294d1652615f39463f,true
S17C30_LEDGER_0085,S17C30_SRC_C29_0006,S17C6_CANARY_REC_00001,REC_2022_05_24_30,phenomenon_subgate,G5b_mass_movement_signal_present,not_evaluated_as_subgate,true,deslizamento/barreira/movimento de massa,S17C29_ART_0006,5adef5a109ad68eabeba23a5d201c8a0efb3bc29552fbe294d1652615f39463f,true
S17C30_LEDGER_0086,S17C30_SRC_C29_0006,S17C6_CANARY_REC_00001,REC_2022_05_24_30,phenomenon_subgate,G5c_mixed_phenomenon_detected,not_evaluated_as_subgate,true,fenomeno misto detectado,S17C29_ART_0006,5adef5a109ad68eabeba23a5d201c8a0efb3bc29552fbe294d1652615f39463f,true
S17C30_LEDGER_0087,S17C30_SRC_C29_0007,S17C6_CANARY_REC_00001,REC_2022_05_24_30,documentary,G1_documentary_existence,not_evaluated_as_subgate,true,artefato adquirido + evento/local especifico,S17C29_ART_0007,4f57270224c51a3e5d32590a92e6d268199c7ca4d31906ad69fadec4a2eb7648,true
