evidence_id,region,event_type,date_or_period,source_path,original_geometry_status,enriched_has_geometry,enriched_geometry_type,enriched_geometry_source,enriched_lat,enriched_lon,enriched_bbox,enriched_spatial_precision,enrichment_method,enrichment_confidence,can_link_to_patch_after_enrichment,can_be_ground_truth,allowed_for_training,review_only,enrichment_notes
EVID_OBS_0010,recife,flood_or_disaster_record,2022-05-26,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set;polygon,event_polygon_REC_2022_05_24_30_charter758_digitized_candidate.geojson;patch_boundary_REC_00019_from_lineage.geojson;protocol_c_inmet_canonical_station_registry_v1ta.csv;protocol_c_inmet_station_region_proximity_v1sr.csv;recife_defesa_civil_risk_areas_geojson.geojson;recife_defesa_civil_risk_locations.geojson,,,-49.230556;-25.448611;-34.920971;-7.981592,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0011,curitiba,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,text_only,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0012,petropolis,flood_or_disaster_record,2022-02-19,outputs_public/tables/revp_observed_event_registry_v2dz.csv,flagged_unvalidated_no_coordinate,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0013,petropolis,flood_or_disaster_record,2022-02-20,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0014,petropolis,flood_or_disaster_record,2022-02-22,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0015,petropolis,flood_or_disaster_record,2022-02-28,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0016,petropolis,flood_or_disaster_record,2022-02-23,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0017,petropolis,flood_or_disaster_record,2022-02-24,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0018,petropolis,flood_or_disaster_record,2022-02-24,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0019,petropolis,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0020,petropolis,flood_or_disaster_record,2022-03-01,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0021,petropolis,flood_or_disaster_record,2022-03-02,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0022,petropolis,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0023,recife,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set;polygon,event_polygon_REC_2022_05_24_30_charter758_digitized_candidate.geojson;patch_boundary_REC_00019_from_lineage.geojson;protocol_c_inmet_canonical_station_registry_v1ta.csv;protocol_c_inmet_station_region_proximity_v1sr.csv;recife_defesa_civil_risk_areas_geojson.geojson;recife_defesa_civil_risk_locations.geojson,,,-49.230556;-25.448611;-34.920971;-7.981592,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0024,recife,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set;polygon,event_polygon_REC_2022_05_24_30_charter758_digitized_candidate.geojson;patch_boundary_REC_00019_from_lineage.geojson;protocol_c_inmet_canonical_station_registry_v1ta.csv;protocol_c_inmet_station_region_proximity_v1sr.csv;recife_defesa_civil_risk_areas_geojson.geojson;recife_defesa_civil_risk_locations.geojson,,,-49.230556;-25.448611;-34.920971;-7.981592,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0025,recife,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set;polygon,event_polygon_REC_2022_05_24_30_charter758_digitized_candidate.geojson;patch_boundary_REC_00019_from_lineage.geojson;protocol_c_inmet_canonical_station_registry_v1ta.csv;protocol_c_inmet_station_region_proximity_v1sr.csv;recife_defesa_civil_risk_areas_geojson.geojson;recife_defesa_civil_risk_locations.geojson,,,-49.230556;-25.448611;-34.920971;-7.981592,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0026,unknown,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0027,recife,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set;polygon,event_polygon_REC_2022_05_24_30_charter758_digitized_candidate.geojson;patch_boundary_REC_00019_from_lineage.geojson;protocol_c_inmet_canonical_station_registry_v1ta.csv;protocol_c_inmet_station_region_proximity_v1sr.csv;recife_defesa_civil_risk_areas_geojson.geojson;recife_defesa_civil_risk_locations.geojson,,,-49.230556;-25.448611;-34.920971;-7.981592,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0028,unknown,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0029,unknown,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0030,unknown,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0031,unknown,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0032,unknown,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0033,unknown,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0034,curitiba,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,text_only,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0035,curitiba,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,text_only,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0036,curitiba,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,text_only,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0037,curitiba,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,text_only,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0038,petropolis,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0039,petropolis,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0040,petropolis,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0041,petropolis,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0042,curitiba,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,text_only,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0043,unknown,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0044,petropolis,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0045,unknown,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0046,unknown,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0047,curitiba,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,text_only,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0048,curitiba,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,text_only,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0049,petropolis,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,true,point_set,ground_reference_event_registry.csv;multi_anchor_multimodal_patch_registry.csv;official_coordinate_recovery_hardened_registry.csv;official_multi_anchor_registry.csv;v1uf_official_station_catalog_registry.csv,,,-43.291389;-22.539519;-34.944167;-8.018889,region_traceable_geometry_available,region_level_join_with_traceable_geometry,low,false,false,false,true,"Geometria REAL rastreavel disponivel em nivel de regiao (fontes locais); NAO vinculada a este evidence_id especifico -> requires manual review; review-only, nao e ground truth."
EVID_OBS_0050,unknown,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0051,unknown,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_OBS_0052,unknown,flood_or_disaster_record,unknown,outputs_public/tables/revp_observed_event_registry_v2dz.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_EXT_0000,unknown,desastre_hidrometeorologico_composto,2022-05-24..2022-05-30,outputs_public/tables/revp_indice_eventos_externos_candidatos_mv1.csv,MultiPolygon,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_EXT_0001,unknown,deslizamento,2022-02-15..2022-03-02,outputs_public/tables/revp_indice_eventos_externos_candidatos_mv1.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_EXT_0002,unknown,deslizamento,2022-02-15..2022-03-02,outputs_public/tables/revp_indice_eventos_externos_candidatos_mv1.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_EXT_0003,unknown,deslizamento,2022-02-19,outputs_public/tables/revp_indice_eventos_externos_candidatos_mv1.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_EXT_0004,unknown,alagamento,2022-01-05..2022-01-15,outputs_public/tables/revp_indice_eventos_externos_candidatos_mv1.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_EXT_0005,unknown,deslizamento,2022-02-15,outputs_public/tables/revp_indice_eventos_externos_candidatos_mv1.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_EXT_0006,unknown,deslizamento,2022-02-15,outputs_public/tables/revp_indice_eventos_externos_candidatos_mv1.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
EVID_EXT_0007,unknown,desastre_hidrometeorologico_composto,2022-02-15,outputs_public/tables/revp_indice_eventos_externos_candidatos_mv1.csv,no_geometry,false,,,,,,unknown,no_geometry_join,insufficient,false,false,false,true,Sem geometria real rastreavel para a regiao nesta passada.
