smoke_id,execution_queue_id,visual_asset_id,patch_id,alias,region,relative_path,path_hash,visual_type,sample_rank,selection_reason,linkage_confidence,dino_allowed_use,can_create_label,can_train_model,target_created,selected_for_smoke,blocked_reason,notes
V1QH_SMK_00011,V1QA_EQ_00095,V1PU_VA_00095,REC_00205,REC_00205,RECIFE,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,11,min_per_region_quota,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00012,V1QA_EQ_00096,V1PU_VA_00096,REC_00227,REC_00227,RECIFE,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,12,min_per_region_quota,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00013,V1QA_EQ_00005,V1PU_VA_00005,CUR_00367,CUR_00367,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,13,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00014,V1QA_EQ_00006,V1PU_VA_00006,CUR_00402,CUR_00402,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,14,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00015,V1QA_EQ_00007,V1PU_VA_00007,CUR_00409,CUR_00409,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,15,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00016,V1QA_EQ_00008,V1PU_VA_00008,CUR_00410,CUR_00410,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,16,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00017,V1QA_EQ_00009,V1PU_VA_00009,CUR_00413,CUR_00413,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,17,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00018,V1QA_EQ_00010,V1PU_VA_00010,CUR_00416,CUR_00416,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,18,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00019,V1QA_EQ_00011,V1PU_VA_00011,CUR_00445,CUR_00445,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,19,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00020,V1QA_EQ_00012,V1PU_VA_00012,CUR_00446,CUR_00446,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,20,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00021,V1QA_EQ_00013,V1PU_VA_00013,CUR_00597,CUR_00597,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,21,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00022,V1QA_EQ_00014,V1PU_VA_00014,CUR_00661,CUR_00661,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,22,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00023,V1QA_EQ_00015,V1PU_VA_00015,CUR_00662,CUR_00662,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,23,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00024,V1QA_EQ_00016,V1PU_VA_00016,CUR_00695,CUR_00695,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,24,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00025,V1QA_EQ_00017,V1PU_VA_00017,CUR_00728,CUR_00728,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,25,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00026,V1QA_EQ_00018,V1PU_VA_00018,CUR_00740,CUR_00740,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,26,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00027,V1QA_EQ_00019,V1PU_VA_00019,CUR_00887,CUR_00887,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,27,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00028,V1QA_EQ_00020,V1PU_VA_00020,CUR_00888,CUR_00888,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,28,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00029,V1QA_EQ_00021,V1PU_VA_00021,CUR_00889,CUR_00889,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,29,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00030,V1QA_EQ_00022,V1PU_VA_00022,CUR_00895,CUR_00895,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,30,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00031,V1QA_EQ_00023,V1PU_VA_00023,CUR_00899,CUR_00899,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,31,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00032,V1QA_EQ_00024,V1PU_VA_00024,CUR_00924,CUR_00924,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,32,global_rank_diversity,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
