gap_id,observed_event_id,region,gap_type,gap_description,required_for_gate,required_for_patch_level_reference,priority_level,suggested_action,status,notes
GAP_REC_2024_06_001,REC_2024_06_14_16,Recife,PATCH_OVERLAY_NOT_DONE,Overlay espacial entre geometria do evento e patches do corpus não foi executado,G4_SPATIAL_ALIGNMENT,true,HIGH,Adquirir boletins com pontos de alagamento e executar overlay futuro,OPEN,Não pode ser feito sem geometria validada
GAP_REC_2024_06_002,REC_2024_06_14_16,Recife,REVIEW_GATE_NOT_DONE,Revisão supervisora da evidência não foi executada,G7_REVIEW_GATE,true,HIGH,Programar revisão após aquisição de fonte espacial detalhada,OPEN,Obrigatória antes de qualquer promoção
GAP_REC_2024_06_003,REC_2024_06_14_16,Recife,LICENSE_PROVENANCE_PENDING,Licença do Diário Oficial Municipal para uso acadêmico não verificada,G5_SOURCE_STRENGTH,false,MEDIUM,Verificar termos de reutilização do DOME e do portal da Prefeitura do Recife,OPEN,PDF do diário oficial pode ter restrições de redistribuição
GAP_REC_2024_06_004,REC_2024_06_14_16,Recife,ADDRESS_LEVEL_DETAIL_MISSING,Bairros e pontos específicos afetados em junho de 2024 não foram georreferenciados,G4_SPATIAL_ALIGNMENT,true,MEDIUM,Extrair localidades dos boletins e do diário oficial e georreferenciar,OPEN,Necessário para triagem espacial detalhada
GAP_PET_2022_02_001,PET_2022_02_15,Petrópolis,PATCH_OVERLAY_NOT_DONE,Overlay espacial entre geometria do evento e patches do corpus não foi executado,G4_SPATIAL_ALIGNMENT,true,HIGH,Adquirir shapefiles de área afetada e executar overlay após separação de fenômenos,OPEN,Bloqueado até que PHENOMENON_SEPARATION_REQUIRED seja resolvido
GAP_PET_2022_02_002,PET_2022_02_15,Petrópolis,REVIEW_GATE_NOT_DONE,Revisão supervisora da evidência e separação de fenômenos não foram executadas,G7_REVIEW_GATE,true,HIGH,Programar revisão por especialista com o relatório DRM-RJ como base,OPEN,Obrigatória antes de qualquer promoção; separação inundação/deslizamento é crítica
GAP_PET_2022_02_003,PET_2022_02_15,Petrópolis,LICENSE_PROVENANCE_PENDING,Licença do relatório DRM-RJ para uso acadêmico não verificada formalmente,G5_SOURCE_STRENGTH,true,HIGH,Verificar termos de uso do portal DRM-RJ para fins acadêmicos,OPEN,Relatório público mas redistribuição pode ser restrita
GAP_PET_2022_02_004,PET_2022_02_15,Petrópolis,PHENOMENON_SEPARATION_REQUIRED,Separação entre inundação/transbordamento e deslizamento ainda não documentada para este evento,G4_SPATIAL_ALIGNMENT,true,HIGH,Revisar relatório DRM-RJ e separar geometrias por tipo de fenômeno,OPEN,O REV-P foca em inundação; deslizamento exige tratamento metodológico separado
GAP_PET_2022_02_005,PET_2022_02_15,Petrópolis,GEOMETRY_NOT_AVAILABLE,Shapefiles ou GeoJSONs de feições de deslizamento e áreas de inundação não disponíveis no repositório,G4_SPATIAL_ALIGNMENT,true,HIGH,Solicitar shapefiles ao DRM-RJ ou extrair geometrias do relatório técnico,OPEN,Necessário para overlay patch-level futuro
GAP_PET_2022_02_006,PET_2022_02_15,Petrópolis,SOURCE_DOCUMENT_NOT_DOWNLOADED_LOCALLY,Relatório técnico DRM-RJ não foi baixado e armazenado em local_only,G2_SOURCE_AVAILABILITY,false,MEDIUM,Baixar relatório e armazenar em local_only/protocolo_c/evidencias_observacionais/petropolis/2022_02/,OPEN,Documento público; download permitido para fins acadêmicos pendente verificação de licença
GAP_PET_2022_03_001,PET_2022_03_20_21,Petrópolis,PATCH_OVERLAY_NOT_DONE,Overlay espacial entre geometria do evento de março e patches do corpus não foi executado,G4_SPATIAL_ALIGNMENT,true,HIGH,Adquirir shapefiles de área afetada e executar overlay futuro,OPEN,Bloqueado até aquisição de fonte específica do evento
GAP_PET_2022_03_002,PET_2022_03_20_21,Petrópolis,REVIEW_GATE_NOT_DONE,Revisão supervisora do evento de março não foi executada,G7_REVIEW_GATE,true,HIGH,Programar revisão após extração do relatório DRM-RJ e aquisição de fontes específicas,OPEN,Obrigatória antes de qualquer promoção
GAP_PET_2022_03_003,PET_2022_03_20_21,Petrópolis,LICENSE_PROVENANCE_PENDING,Licença das fontes técnicas complementares não verificada,G5_SOURCE_STRENGTH,true,HIGH,Identificar e verificar licença de todas as fontes complementares para março de 2022,OPEN,Fontes complementares ainda não identificadas
GAP_PET_2022_03_004,PET_2022_03_20_21,Petrópolis,PHENOMENON_SEPARATION_REQUIRED,Separação entre fenômenos do evento de março não documentada,G4_SPATIAL_ALIGNMENT,true,HIGH,Revisar fontes disponíveis para separar inundação de deslizamento em março de 2022,OPEN,Período de múltiplos eventos em sequência exige separação cuidadosa
GAP_PET_2022_03_005,PET_2022_03_20_21,Petrópolis,GEOMETRY_NOT_AVAILABLE,Geometria específica do evento de março de 2022 não disponível,G4_SPATIAL_ALIGNMENT,true,HIGH,Solicitar dados ao DRM-RJ específicos do evento de 20–21/03/2022,OPEN,Pode estar coberto no relatório geral; necessita extração específica
GAP_PET_2024_03_001,PET_2024_03_21_28,Petrópolis,PATCH_OVERLAY_NOT_DONE,Overlay espacial entre geometria do evento de 2024 e patches do corpus não foi executado,G4_SPATIAL_ALIGNMENT,true,HIGH,Aguardar aquisição de produto Copernicus detalhado e geometria local,OPEN,G4 apenas parcial; bloqueado para patch-level
GAP_PET_2024_03_002,PET_2024_03_21_28,Petrópolis,REVIEW_GATE_NOT_DONE,Revisão supervisora do evento de março de 2024 não foi executada,G7_REVIEW_GATE,true,HIGH,Programar revisão após aquisição de fonte espacial municipal,OPEN,Obrigatória antes de qualquer promoção
GAP_PET_2024_03_003,PET_2024_03_21_28,Petrópolis,LICENSE_PROVENANCE_PENDING,Licença do produto Copernicus GFM para uso operacional não verificada,G5_SOURCE_STRENGTH,true,HIGH,Verificar termos de uso do Copernicus GFM e documentar incerteza do produto,OPEN,Produto algorítmico; não é ground truth; incerteza deve ser documentada
GAP_PET_2024_03_004,PET_2024_03_21_28,Petrópolis,COPERNICUS_PRODUCT_DETAIL_PENDING,Produto Copernicus GFM para o evento de março de 2024 não foi revisado em detalhe municipal,G4_SPATIAL_ALIGNMENT,true,HIGH,Acessar produto GFM e verificar cobertura e confiança para municípios do corpus,OPEN,Produto regional; cobertura específica para Petrópolis pendente de verificação
GAP_PET_2024_03_005,PET_2024_03_21_28,Petrópolis,GEOMETRY_NOT_AVAILABLE,Geometria de área afetada em nível municipal para o evento de 2024 não disponível,G4_SPATIAL_ALIGNMENT,true,HIGH,Solicitar à Prefeitura de Petrópolis boletins com mapa de áreas afetadas,OPEN,Fonte municipal identifica FGTs mas não fornece geometria de área afetada
GAP_CTB_2022_01_001,CTB_2022_01_15_16,Curitiba,PATCH_OVERLAY_NOT_DONE,Overlay espacial entre geometria do evento e patches do corpus não foi executado,G4_SPATIAL_ALIGNMENT,true,HIGH,Adquirir boletins com pontos de alagamento e executar overlay futuro,OPEN,Não pode ser feito sem geometria validada
GAP_CTB_2022_01_002,CTB_2022_01_15_16,Curitiba,REVIEW_GATE_NOT_DONE,Revisão supervisora da evidência não foi executada,G7_REVIEW_GATE,true,HIGH,Programar revisão após aquisição de fonte espacial detalhada,OPEN,Obrigatória antes de qualquer promoção
GAP_CTB_2022_01_003,CTB_2022_01_15_16,Curitiba,LICENSE_PROVENANCE_PENDING,Licença das fontes jornalísticas (TopView/Banda B) não verificada para uso acadêmico,G5_SOURCE_STRENGTH,false,MEDIUM,Verificar termos de uso das fontes jornalísticas e identificar fontes oficiais subjacentes,OPEN,Fontes jornalísticas são apoio; fonte primária oficial necessária
GAP_CTB_2022_01_004,CTB_2022_01_15_16,Curitiba,MUNICIPAL_OCCURRENCE_LOG_MISSING,Boletins e ocorrências da Defesa Civil de 15–16/01/2022 não adquiridos,G4_SPATIAL_ALIGNMENT,true,HIGH,Solicitar registros à Defesa Civil Municipal de Curitiba,OPEN,Necessário para triagem espacial detalhada
GAP_CTB_2022_01_005,CTB_2022_01_15_16,Curitiba,HYDROMET_SERIES_MISSING,Série pluviométrica Simepar para a janela de 15–16/01/2022 não adquirida,G3_TEMPORAL_ALIGNMENT,false,MEDIUM,Acessar portal Simepar e adquirir dados de precipitação para o período,OPEN,Necessário para corroboração independente (G8)
GAP_CTB_2023_10_001,CTB_2023_10_28_30,Curitiba,PATCH_OVERLAY_NOT_DONE,Overlay espacial entre geometria do evento e patches do corpus não foi executado,G4_SPATIAL_ALIGNMENT,true,HIGH,Adquirir ocorrências da Defesa Civil com localização e executar overlay futuro,OPEN,Não pode ser feito sem geometria validada
GAP_CTB_2023_10_002,CTB_2023_10_28_30,Curitiba,REVIEW_GATE_NOT_DONE,Revisão supervisora da evidência não foi executada,G7_REVIEW_GATE,true,HIGH,Programar revisão após aquisição de fonte espacial detalhada,OPEN,Obrigatória antes de qualquer promoção
GAP_CTB_2023_10_003,CTB_2023_10_28_30,Curitiba,LICENSE_PROVENANCE_PENDING,Licença das fontes municipais (portal prefeitura) para uso acadêmico não verificada formalmente,G5_SOURCE_STRENGTH,false,MEDIUM,Verificar termos de uso do portal da Prefeitura de Curitiba,OPEN,Portal público; licença provavelmente permissiva mas deve ser documentada
GAP_CTB_2023_10_004,CTB_2023_10_28_30,Curitiba,MUNICIPAL_OCCURRENCE_LOG_MISSING,Boletins de ocorrências da Defesa Civil de 28–30/10/2023 não adquiridos,G4_SPATIAL_ALIGNMENT,true,HIGH,Solicitar registros à Defesa Civil Municipal de Curitiba,OPEN,Caximba e Tatuquara mencionados; necessita dados georreferenciados
GAP_CTB_2023_10_005,CTB_2023_10_28_30,Curitiba,ADDRESS_LEVEL_DETAIL_MISSING,Localidades específicas (Caximba; Cajuru; Tatuquara) não georreferenciadas no repositório,G4_SPATIAL_ALIGNMENT,true,MEDIUM,Extrair localidades dos boletins e georreferenciar com base GeoCuritiba,OPEN,Localidades mencionadas nas fontes; precisam ser convertidas em geometria
GAP_CTB_2024_02_001,CTB_2024_02_18_20,Curitiba,PATCH_OVERLAY_NOT_DONE,Overlay espacial entre geometria do evento e patches do corpus não foi executado,G4_SPATIAL_ALIGNMENT,true,HIGH,Adquirir fonte espacial detalhada e executar overlay futuro,OPEN,Não pode ser feito sem geometria validada
GAP_CTB_2024_02_002,CTB_2024_02_18_20,Curitiba,REVIEW_GATE_NOT_DONE,Revisão supervisora da evidência não foi executada,G7_REVIEW_GATE,true,HIGH,Programar revisão após aquisição de fonte espacial detalhada,OPEN,Obrigatória antes de qualquer promoção
GAP_CTB_2024_02_003,CTB_2024_02_18_20,Curitiba,LICENSE_PROVENANCE_PENDING,Licença da fonte jornalística (Banda B) não verificada para uso acadêmico,G5_SOURCE_STRENGTH,false,MEDIUM,Identificar fonte primária oficial subjacente às referências de Cajuru,OPEN,Fonte jornalística não é fonte primária; fonte oficial correspondente necessária
GAP_CTB_2024_02_004,CTB_2024_02_18_20,Curitiba,HYDROMET_SERIES_MISSING,Série pluviométrica Simepar para a janela de 18–20/02/2024 não adquirida,G3_TEMPORAL_ALIGNMENT,false,MEDIUM,Acessar portal Simepar e adquirir dados de precipitação para o período,OPEN,Necessário para corroboração independente (G8)
