dependency_id,observed_event_id,region,dependency_type,dependency_description,required_before_overlay,required_before_review_gate,required_before_ground_reference,current_status,priority_level,responsible_review_role,forbidden_if_missing,notes
DEP_REC_2024_06_001,REC_2024_06_14_16,Recife,SOURCE_GEOMETRY,Geometria vetorial de pontos de alagamento para o evento de junho de 2024 não está disponível no repositório. Diário Oficial do Município identifica o evento mas não fornece shapefile.,true,true,true,OPEN,MEDIUM,GIS_REVIEWER,"patch-linking validado; ground reference; ground truth operacional; label de treino","Diário Oficial identificado como fonte (dome.recife.pe.gov.br); verificar se contém mapas extraíveis; solicitar lista de pontos à Defesa Civil"
DEP_REC_2024_06_002,REC_2024_06_14_16,Recife,MANUAL_GEOCODING,Localidade Jardim Monte Verde identificada na fonte primária precisa ser geocodificada manualmente usando shapefile oficial de bairros do Recife. Nenhuma coordenada foi criada nesta etapa.,true,true,true,OPEN,MEDIUM,GIS_REVIEWER,"patch-linking validado; ground reference; ground truth operacional; label de treino; qualquer relação espacial entre evento e patches","1 localidade (Jardim Monte Verde) a geocodificar; base GEORecife ou IBGE é fonte candidata"
DEP_REC_2024_06_003,REC_2024_06_14_16,Recife,LICENSE_PROVENANCE,Licença e proveniência de geometrias para o evento de junho de 2024 precisam ser verificadas. Diário Oficial e Prefeitura do Recife têm termos de uso que precisam de confirmação para uso operacional.,false,true,true,OPEN,MEDIUM,METHODOLOGICAL_REVIEWER,"qualquer uso operacional de geometria; patch-linking validado; ground reference; ground truth operacional; label de treino","Verificar termos de uso do portal dome.recife.pe.gov.br e GEORecife antes de qualquer uso no repositório público"
DEP_REC_2024_06_004,REC_2024_06_14_16,Recife,SENTINEL_TEMPORAL_SEARCH,Busca de assets Sentinel-1 e Sentinel-2 para a janela do evento (2024-06-14 a 2024-06-16) e janelas pré/pós não foi executada. Cobertura de nuvem alta esperada em junho — SAR prioritário.,false,false,true,OPEN,MEDIUM,REMOTE_SENSING_REVIEWER,"confirmação de disponibilidade de asset Sentinel para janela do evento; alinhamento temporal validado; qualquer uso de Sentinel como evidência observacional","Janela definida em STW_REC_2024_06_14_16; evento de junho favorece cobertura de nuvem alta — SAR é prioritário"
DEP_REC_2024_06_005,REC_2024_06_14_16,Recife,REVIEW_GATE,Revisão supervisora formal da relação entre o evento de junho de 2024 e os patches REC_P001–P004 não foi realizada. Nenhuma promoção a ground reference sem revisão por especialista.,false,false,true,OPEN,HIGH,METHODOLOGICAL_REVIEWER,"promoção a ground reference; ground truth operacional; label de treino; patch-linking validado; qualquer claim de relação confirmada entre evento e patch","Revisão supervisora exige resolução das dependências anteriores desta lista"
DEP_PET_2022_02_001,PET_2022_02_15,Petrópolis,SOURCE_GEOMETRY,Geometria vetorial de áreas afetadas pelo evento de 15 de fevereiro de 2022 existe parcialmente no relatório DRM-RJ (RL_09.2022.01) em formato de mapa técnico impresso. Extração vetorial e verificação de CRS não foram realizadas.,true,true,true,OPEN,HIGH,GIS_REVIEWER,"patch-linking validado; ground reference; ground truth operacional; label de treino; qualquer relação espacial entre evento e patches","Relatório DRM-RJ público; extração vetorial exige revisão especializada; geometrias de deslizamento e inundação devem ser extraídas e identificadas separadamente"
DEP_PET_2022_02_002,PET_2022_02_15,Petrópolis,MANUAL_GEOCODING,Localidades Alto da Serra; Centro; Chácara Flora; Morin; Caxambu; São Sebastião precisam ser geocodificadas manualmente por revisão supervisora usando geometria oficial. Nenhuma coordenada foi criada nesta etapa.,true,true,true,OPEN,HIGH,GIS_REVIEWER,"patch-linking validado; ground reference; ground truth operacional; label de treino; qualquer relação espacial entre evento e patches","6 localidades a geocodificar; geometria de bairros disponível no IBGE; precisão de bairro esperada para a maioria; Alto da Serra pode exigir confirmação adicional de limite"
DEP_PET_2022_02_003,PET_2022_02_15,Petrópolis,LICENSE_PROVENANCE,Licença do relatório DRM-RJ e de qualquer geometria obtida de fonte oficial precisam ser verificadas para uso operacional. DRM-RJ é órgão público estadual — verificar política de dados abertos e redistribuição.,false,true,true,OPEN,MEDIUM,METHODOLOGICAL_REVIEWER,"qualquer uso operacional de geometria; patch-linking validado; ground reference; ground truth operacional; label de treino","Contato formal com DRM-RJ pode ser necessário para confirmar licença de redistribuição de geometrias extraídas do relatório técnico"
DEP_PET_2022_02_004,PET_2022_02_15,Petrópolis,SENTINEL_TEMPORAL_SEARCH,Busca de assets Sentinel-1 e Sentinel-2 para a janela do evento (2022-02-15 a 2022-02-16) e janelas pré/pós não foi executada. Janela do evento de 1-2 dias exige busca de passe SAR específico.,false,false,true,OPEN,HIGH,REMOTE_SENSING_REVIEWER,"confirmação de disponibilidade de asset Sentinel para janela do evento; alinhamento temporal validado; qualquer uso de Sentinel como evidência observacional do evento","Janela definida em STW_PET_2022_02_15; evento de 1 dia — passe SAR Sentinel-1 tem revisita de 6 dias em modo IW; verificar data de passe real no Copernicus Data Space Ecosystem"
DEP_PET_2022_02_005,PET_2022_02_15,Petrópolis,REVIEW_GATE,Revisão supervisora formal da relação entre o evento de 15 de fevereiro de 2022 e os patches PET_P001–P004 não foi realizada. Nenhuma promoção a ground reference sem revisão especializada que inclua avaliação de separação de fenômenos.,false,false,true,OPEN,HIGH,METHODOLOGICAL_REVIEWER,"promoção a ground reference; ground truth operacional; label de treino; patch-linking validado; qualquer claim de relação confirmada entre evento e patch","Revisão supervisora para Petrópolis deve incluir explicitamente avaliação de separação deslizamento/inundação — este evento é o mais crítico no corpus para contaminação de fenômenos"
DEP_PET_2022_02_006,PET_2022_02_15,Petrópolis,PHENOMENON_SEPARATION,O evento de 15 de fevereiro de 2022 em Petrópolis combinou inundação fluvial e deslizamentos de massa. Qualquer uso operacional de geometria ou patch exige separação rigorosa de fenômenos antes de associar área afetada a processo específico.,true,true,true,OPEN,HIGH,METHODOLOGICAL_REVIEWER,"uso de patch afetado por deslizamento como evidência de inundação; ground reference de inundação em área de deslizamento; label de treino de inundação sem separação de processo; qualquer uso de área de deslizamento como proxy de flood","Separação de fenômenos é prerequisito para todos os outros usos; sem separação documentada nenhum patch pode ser associado a inundação mesmo que área seja comprovadamente afetada pelo evento"
DEP_PET_2022_03_001,PET_2022_03_20_21,Petrópolis,SOURCE_GEOMETRY,Geometria vetorial para o segundo evento crítico de março de 2022 em Petrópolis não foi extraída. O relatório DRM-RJ (RL_09.2022.01) cobre ambos os eventos — extração da seção específica de março é necessária.,true,true,true,OPEN,HIGH,GIS_REVIEWER,"patch-linking validado; ground reference; ground truth operacional; label de treino","Mesmo relatório do evento de fevereiro; verificar se seção de março tem geometria própria ou compartilha mapas com fevereiro — isso afeta a independência metodológica das duas referências"
DEP_PET_2022_03_002,PET_2022_03_20_21,Petrópolis,MANUAL_GEOCODING,Localidades Quitandinha e Castelânea identificadas nas fontes do evento de março de 2022 precisam ser geocodificadas por revisão supervisora usando geometria oficial. Nenhuma coordenada foi criada nesta etapa.,true,true,true,OPEN,HIGH,GIS_REVIEWER,"patch-linking validado; ground reference; ground truth operacional; label de treino; qualquer relação espacial entre evento e patches","2 localidades a geocodificar; shapefile de bairros IBGE é fonte candidata; confirmar que bairros pertencem ao município de Petrópolis"
DEP_PET_2022_03_003,PET_2022_03_20_21,Petrópolis,LICENSE_PROVENANCE,Licença do relatório DRM-RJ para o evento de março de 2022 e de qualquer geometria obtida precisam ser verificadas. A mesma verificação do evento de fevereiro cobre esta dependência se o relatório for o mesmo.,false,true,true,OPEN,MEDIUM,METHODOLOGICAL_REVIEWER,"qualquer uso operacional de geometria; patch-linking validado; ground reference; ground truth operacional; label de treino","Se licença do relatório DRM-RJ for confirmada para o evento de fevereiro; essa verificação pode cobrir o evento de março — documentar explicitamente no protocolo de revisão"
DEP_PET_2022_03_004,PET_2022_03_20_21,Petrópolis,SENTINEL_TEMPORAL_SEARCH,Busca de assets Sentinel-1 e Sentinel-2 para a janela do evento (2022-03-20 a 2022-03-21) e janelas pré/pós não foi executada. Verificar que assets buscados são específicos para esta data e não confundidos com evento de fevereiro.,false,false,true,OPEN,MEDIUM,REMOTE_SENSING_REVIEWER,"confirmação de disponibilidade de asset Sentinel para janela do evento; alinhamento temporal validado com imagem real desta data específica; uso de asset de fevereiro como representativo de março","Janela definida em STW_PET_2022_03_20_21; atenção a não usar asset de fevereiro de 2022 por proximidade temporal — as duas janelas são independentes"
DEP_PET_2022_03_005,PET_2022_03_20_21,Petrópolis,REVIEW_GATE,Revisão supervisora formal da relação entre o evento de março de 2022 e os patches PET_P001–P004 não foi realizada. Inclui avaliação de separação de fenômenos específica para esta data.,false,false,true,OPEN,HIGH,METHODOLOGICAL_REVIEWER,"promoção a ground reference; ground truth operacional; label de treino; patch-linking validado; qualquer claim de relação confirmada entre evento e patch","Revisão supervisora deve confirmar independência metodológica em relação ao evento de fevereiro e incluir separação deslizamento/inundação"
DEP_PET_2022_03_006,PET_2022_03_20_21,Petrópolis,PHENOMENON_SEPARATION,O segundo evento crítico de março de 2022 em Petrópolis também combinou inundação fluvial e deslizamentos de massa. Separação rigorosa de fenômenos obrigatória antes de qualquer uso operacional de geometria ou patch.,true,true,true,OPEN,HIGH,METHODOLOGICAL_REVIEWER,"uso de patch afetado por deslizamento como evidência de inundação; ground reference de inundação em área de deslizamento; label de treino de inundação sem separação de processo; qualquer uso de área de deslizamento como proxy de flood","Mesma exigência do evento de fevereiro — ambos os eventos de Petrópolis de 2022 têm este requisito independentemente"
DEP_PET_2024_03_001,PET_2024_03_21_28,Petrópolis,SOURCE_GEOMETRY,Geometria vetorial de área afetada pelo evento de março de 2024 não está disponível no repositório. Produto Copernicus cobre o estado — geometria municipal de Petrópolis não confirmada. G4=PARTIAL reflete esta limitação.,true,true,true,OPEN,MEDIUM,GIS_REVIEWER,"patch-linking validado; ground reference; ground truth operacional; label de treino; qualquer uso do produto Copernicus regional como confirmação local de área afetada","G4=PARTIAL para este evento — limitação é a ausência de geometria municipal específica; produto Copernicus regional não é substituto de geometria local validada"
DEP_PET_2024_03_002,PET_2024_03_21_28,Petrópolis,MANUAL_GEOCODING,Localidades Valparaíso e Floresta identificadas na fonte do evento de março de 2024 precisam ser geocodificadas por revisão supervisora. Geocodificação não resolve a limitação de G4=PARTIAL — evidência espacial municipal confirmada ainda necessária.,true,true,true,OPEN,MEDIUM,GIS_REVIEWER,"patch-linking validado; ground reference; ground truth operacional; label de treino","2 localidades a geocodificar; geocodificação de bairro é passo necessário mas insuficiente para superar G4=PARTIAL neste evento"
DEP_PET_2024_03_003,PET_2024_03_21_28,Petrópolis,LICENSE_PROVENANCE,Licença do produto Copernicus Global Flood Monitoring e de qualquer geometria municipal obtida para o evento de março de 2024 precisam ser verificadas.,false,true,true,OPEN,MEDIUM,METHODOLOGICAL_REVIEWER,"qualquer uso operacional de produto Copernicus; patch-linking validado; ground reference; ground truth operacional; label de treino","Copernicus Emergency Management Service tem política de dados abertos mas verificar termos de uso para reprodução e redistribuição em repositório público"
DEP_PET_2024_03_004,PET_2024_03_21_28,Petrópolis,SENTINEL_TEMPORAL_SEARCH,Busca de assets Sentinel-1 e Sentinel-2 para a janela do evento (2024-03-21 a 2024-03-28) e janelas pré/pós não foi executada. Janela de 8 dias favorece maior número de passos de satélite disponíveis.,false,false,true,OPEN,MEDIUM,REMOTE_SENSING_REVIEWER,"confirmação de disponibilidade de asset Sentinel para janela do evento; alinhamento temporal validado; qualquer uso de Sentinel como substituto de evidência espacial municipal","Janela definida em STW_PET_2024_03_21_28; evento de 8 dias — maior janela do corpus; mesmo com bom asset Sentinel a limitação G4=PARTIAL é espacial e não é resolvida por imagem"
DEP_PET_2024_03_005,PET_2024_03_21_28,Petrópolis,REVIEW_GATE,Revisão supervisora formal da relação entre o evento de março de 2024 e os patches PET_P001–P004 não foi realizada. Revisão deve incluir avaliação da limitação G4=PARTIAL e confirmação de cobertura municipal do produto Copernicus.,false,false,true,OPEN,MEDIUM,METHODOLOGICAL_REVIEWER,"promoção a ground reference; ground truth operacional; label de treino; patch-linking validado; qualquer claim de relação confirmada entre evento e patch","G4=PARTIAL — revisão supervisora deve decidir se evidência espacial adicional é suficiente para avançar ou se este evento permanece bloqueado para patch-linking"
DEP_PET_2024_03_006,PET_2024_03_21_28,Petrópolis,PHENOMENON_SEPARATION,O evento de março de 2024 em Petrópolis está classificado como desastre_hidrometeorologico — combinação de inundação e processos de massa. Separação de fenômenos obrigatória antes de qualquer uso operacional.,true,true,true,OPEN,MEDIUM,METHODOLOGICAL_REVIEWER,"uso de patch afetado por deslizamento como evidência de inundação; ground reference de inundação em área de processo de massa; label de treino de inundação sem separação de processo; qualquer uso de área afetada como proxy de flood sem separação documentada","Exigência independente dos outros eventos de Petrópolis; separação de fenômenos é sistemática para todos os eventos da região dada a natureza topográfica e geológica"
DEP_CTB_2022_01_001,CTB_2022_01_15_16,Curitiba,SOURCE_GEOMETRY,Geometria vetorial de pontos e áreas de alagamento para o evento de janeiro de 2022 em Curitiba não está disponível no repositório. Necessário buscar shapefiles ou boletins georreferenciados da Defesa Civil de Curitiba.,true,true,true,OPEN,MEDIUM,GIS_REVIEWER,"patch-linking validado; ground reference; ground truth operacional; label de treino","Defesa Civil de Curitiba pode ter registros de ocorrências georreferenciadas; IPPUC pode ter base de áreas de risco; verificar portais de dados abertos municipais"
DEP_CTB_2022_01_002,CTB_2022_01_15_16,Curitiba,MANUAL_GEOCODING,Localidades Caximba e Tatuquara identificadas nas fontes do evento de janeiro de 2022 precisam ser geocodificadas por revisão supervisora usando shapefile oficial de bairros. Nenhuma coordenada foi criada nesta etapa.,true,true,true,OPEN,MEDIUM,GIS_REVIEWER,"patch-linking validado; ground reference; ground truth operacional; label de treino; qualquer relação espacial entre evento e patches","2 localidades a geocodificar; shapefile de bairros de Curitiba disponível no IPPUC ou IBGE"
DEP_CTB_2022_01_003,CTB_2022_01_15_16,Curitiba,LICENSE_PROVENANCE,Licença e proveniência de geometrias municipais de Curitiba precisam ser verificadas. IPPUC e Prefeitura de Curitiba têm políticas de dados abertos — confirmar redistribuição para uso operacional.,false,true,true,OPEN,MEDIUM,METHODOLOGICAL_REVIEWER,"qualquer uso operacional de geometria; patch-linking validado; ground reference; ground truth operacional; label de treino","Verificar termos de uso dos portais IPPUC e curitiba.pr.gov.br antes de qualquer uso no repositório público"
DEP_CTB_2022_01_004,CTB_2022_01_15_16,Curitiba,SENTINEL_TEMPORAL_SEARCH,Busca de assets Sentinel-1 e Sentinel-2 para a janela do evento (2022-01-15 a 2022-01-16) e janelas pré/pós não foi executada. Evento de 2 dias em janeiro — cobertura de nuvem alta esperada em verão.,false,false,true,OPEN,MEDIUM,REMOTE_SENSING_REVIEWER,"confirmação de disponibilidade de asset Sentinel para janela do evento; alinhamento temporal validado; qualquer uso de Sentinel como evidência observacional","Janela definida em STW_CTB_2022_01_15_16; evento de 2 dias — SAR prioritário; verificar data de passe Sentinel-1 real no Copernicus Data Space Ecosystem"
DEP_CTB_2022_01_005,CTB_2022_01_15_16,Curitiba,REVIEW_GATE,Revisão supervisora formal da relação entre o evento de janeiro de 2022 e os patches CUR_P001–P004 não foi realizada. Nenhuma promoção a ground reference sem revisão por especialista.,false,false,true,OPEN,HIGH,METHODOLOGICAL_REVIEWER,"promoção a ground reference; ground truth operacional; label de treino; patch-linking validado; qualquer claim de relação confirmada entre evento e patch","Revisão supervisora exige resolução das dependências anteriores desta lista"
DEP_CTB_2023_10_001,CTB_2023_10_28_30,Curitiba,SOURCE_GEOMETRY,Geometria vetorial de pontos e áreas de alagamento para o evento de outubro de 2023 em Curitiba não está disponível no repositório. Cajuru e rua específica mencionados mas sem polígono ou ponto georreferenciado.,true,true,true,OPEN,HIGH,GIS_REVIEWER,"patch-linking validado; ground reference; ground truth operacional; label de treino","Defesa Civil de Curitiba pode ter ocorrências georreferenciadas do evento de outubro de 2023; Cajuru é prioridade por ser mencionado explicitamente nas fontes"
DEP_CTB_2023_10_002,CTB_2023_10_28_30,Curitiba,MANUAL_GEOCODING,Localidades Cajuru (bairro) e Rua Miguel Pedro Abib identificadas nas fontes do evento de outubro de 2023 precisam ser geocodificadas por revisão supervisora. Nenhuma coordenada foi criada nesta etapa.,true,true,true,OPEN,HIGH,GIS_REVIEWER,"patch-linking validado; ground reference; ground truth operacional; label de treino; qualquer relação espacial entre evento e patches","2 localidades; Cajuru tem shapefile disponível no IPPUC; Rua Miguel Pedro Abib exige busca em base de logradouros de Curitiba"
DEP_CTB_2023_10_003,CTB_2023_10_28_30,Curitiba,LICENSE_PROVENANCE,Licença e proveniência de geometrias para o evento de outubro de 2023 precisam ser verificadas. Fonte secundária (Prefeitura — limpeza pós-evento) tem mesma base que fonte primária — verificar política conjunta.,false,true,true,OPEN,MEDIUM,METHODOLOGICAL_REVIEWER,"qualquer uso operacional de geometria; patch-linking validado; ground reference; ground truth operacional; label de treino","Verificar termos de uso dos portais municipais de Curitiba antes de qualquer uso no repositório público"
DEP_CTB_2023_10_004,CTB_2023_10_28_30,Curitiba,SENTINEL_TEMPORAL_SEARCH,Busca de assets Sentinel-1 e Sentinel-2 para a janela do evento (2023-10-28 a 2023-10-30) e janelas pré/pós não foi executada. Evento de 3 dias em outubro — início de período chuvoso no Paraná.,false,false,true,OPEN,MEDIUM,REMOTE_SENSING_REVIEWER,"confirmação de disponibilidade de asset Sentinel para janela do evento; alinhamento temporal validado; qualquer uso de Sentinel como evidência observacional","Janela definida em STW_CTB_2023_10_28_30; verificar disponibilidade de passe SAR em finais de semana de outubro de 2023"
DEP_CTB_2023_10_005,CTB_2023_10_28_30,Curitiba,REVIEW_GATE,Revisão supervisora formal da relação entre o evento de outubro de 2023 e os patches CUR_P001–P004 não foi realizada. Este é o candidato mais forte de Curitiba — revisão deve ser priorizada quando dependências anteriores forem resolvidas.,false,false,true,OPEN,HIGH,METHODOLOGICAL_REVIEWER,"promoção a ground reference; ground truth operacional; label de treino; patch-linking validado; qualquer claim de relação confirmada entre evento e patch","Candidato mais forte de Curitiba (priority_level=HIGH no candidate registry); revisão supervisora deve incluir avaliação de Cajuru vs. patches CUR_P001–P004"
DEP_CTB_2024_02_001,CTB_2024_02_18_20,Curitiba,SOURCE_GEOMETRY,Geometria vetorial de pontos de alagamento para o evento de fevereiro de 2024 em Curitiba não está disponível. Fonte secundária (Banda B) cita recorrência no Cajuru mas sem geometria.,true,true,true,OPEN,MEDIUM,GIS_REVIEWER,"patch-linking validado; ground reference; ground truth operacional; label de treino","Recorrência no Cajuru reforça candidatura; verificar se Defesa Civil de Curitiba tem ocorrências georreferenciadas do evento de fevereiro de 2024"
DEP_CTB_2024_02_002,CTB_2024_02_18_20,Curitiba,MANUAL_GEOCODING,Localidade Rua Alice Vilas Boas da Conceição identificada na fonte do evento de fevereiro de 2024 precisa ser geocodificada por revisão supervisora usando base de logradouros de Curitiba. Nenhuma coordenada foi criada nesta etapa.,true,true,true,OPEN,MEDIUM,GIS_REVIEWER,"patch-linking validado; ground reference; ground truth operacional; label de treino; qualquer relação espacial entre evento e patches","1 localidade específica (rua em Cajuru); confirmar endereço e número na base de logradouros de Curitiba; ponto de ocorrência esperado"
DEP_CTB_2024_02_003,CTB_2024_02_18_20,Curitiba,LICENSE_PROVENANCE,Licença e proveniência da fonte secundária Banda B e de geometrias municipais de Curitiba precisam ser verificadas para o evento de fevereiro de 2024.,false,true,true,OPEN,MEDIUM,METHODOLOGICAL_REVIEWER,"qualquer uso operacional de geometria; patch-linking validado; ground reference; ground truth operacional; label de treino","Banda B é veículo jornalístico — verificar se geometrias de alagamento citadas têm fonte oficial rastreável antes de qualquer uso"
DEP_CTB_2024_02_004,CTB_2024_02_18_20,Curitiba,SENTINEL_TEMPORAL_SEARCH,Busca de assets Sentinel-1 e Sentinel-2 para a janela do evento (2024-02-18 a 2024-02-20) e janelas pré/pós não foi executada. Evento de 3 dias em fevereiro — verão no Paraná com cobertura de nuvem alta.,false,false,true,OPEN,MEDIUM,REMOTE_SENSING_REVIEWER,"confirmação de disponibilidade de asset Sentinel para janela do evento; alinhamento temporal validado; qualquer uso de Sentinel como evidência observacional","Janela definida em STW_CTB_2024_02_18_20; evento de 3 dias; SAR prioritário pela cobertura de nuvem alta esperada em fevereiro"
DEP_CTB_2024_02_005,CTB_2024_02_18_20,Curitiba,REVIEW_GATE,Revisão supervisora formal da relação entre o evento de fevereiro de 2024 e os patches CUR_P001–P004 não foi realizada. Recorrência no Cajuru é elemento relevante para a revisão.,false,false,true,OPEN,HIGH,METHODOLOGICAL_REVIEWER,"promoção a ground reference; ground truth operacional; label de treino; patch-linking validado; qualquer claim de relação confirmada entre evento e patch","Revisão supervisora deve considerar padrão de recorrência no Cajuru (outubro 2023 e fevereiro 2024) como informação contextual — não como substituição de evidência espacial validada"
