readiness_id,patch_id,region,backend_status,dry_run_allowed,real_execution_allowed,readiness_status
V1QB_RD_00030,CUR_00977,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00031,CUR_00992,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00032,CUR_00995,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00033,CUR_01012,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00034,CUR_01015,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00035,CUR_01030,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00036,CUR_01040,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00037,CUR_01050,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00038,CUR_01059,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00039,CUR_01065,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00040,CUR_01075,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00041,CUR_01101,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00042,CUR_01145,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00043,CUR_01324,CURITIBA,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00044,PET_00016,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00045,PET_00104,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00046,PET_00119,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00047,PET_00140,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00048,PET_00240,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00049,PET_00257,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00050,PET_00275,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00051,PET_00291,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00052,PET_00315,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00053,PET_00360,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00054,PET_00362,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00055,PET_00396,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00056,PET_00397,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00057,PET_00404,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00058,PET_00431,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00059,PET_00467,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00060,PET_00506,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00061,PET_00507,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00062,PET_00579,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00063,PET_00614,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00064,PET_00615,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00065,PET_00617,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00066,PET_00618,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00067,PET_00641,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00068,PET_00649,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00069,PET_00652,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00070,PET_00720,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00071,PET_00756,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00072,PET_00789,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00073,PET_00823,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00074,PET_00825,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00075,PET_00829,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00076,PET_00860,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00077,PET_00863,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00078,PET_00865,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00079,PET_00916,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00080,PET_00986,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00081,PET_01307,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00082,PET_01323,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00083,PET_01349,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00084,PET_01352,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00085,PET_01386,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00086,PET_01403,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00087,PET_01458,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00088,PET_01478,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00089,PET_01483,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00090,PET_01488,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00091,PET_01495,PET,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00092,REC_00019,RECIFE,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00093,REC_00183,RECIFE,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00094,REC_00204,RECIFE,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00095,REC_00205,RECIFE,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00096,REC_00227,RECIFE,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00097,REC_00260,RECIFE,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00098,REC_00276,RECIFE,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00099,REC_00279,RECIFE,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
V1QB_RD_00100,REC_00289,RECIFE,DINO_BACKEND_MODEL_UNAVAILABLE_FAIL_CLOSED,true,false,READY_FOR_DRY_RUN_ONLY
