acquisition_id,region,target_source_name,target_source_family,institution_or_provider,expected_evidence_type,event_specific_expected,expected_temporal_information,expected_spatial_information,expected_geometry_type,expected_resolution_or_scale,expected_crs_information,expected_uncertainty_information,related_protocol_c_gate,acquisition_priority,access_mode,local_asset_expected,can_support_reference_candidate,cannot_support_operational_ground_truth_alone,required_follow_up,forbidden_use,notes
ACQ_PET_SENT2_001,PETROPOLIS,Sentinel-2 post-event imagery (Feb 2022),SENTINEL_EVENT_IMAGE,ESA/Copernicus,SPATIAL_EXTENT;TEMPORAL_ANCHOR,true,2022-02-10 to 2022-03-15,Petrópolis municipality,RASTER,10 m,EPSG:32723 (UTM 23S),±10 m pixel size; cloud cover significant post-event,G3_TEMPORAL_ALIGNMENT;G4_SPATIAL_ALIGNMENT;G5_SOURCE_STRENGTH,HIGH,PUBLIC_DOWNLOAD,true,true,true - satellite measurement; requires human annotation,Query ESA Scihub; check cloud cover; Feb-Mar 2022 timeframe; validate geometric alignment,DETECTION_SOLO;PREDICTION;SUPERVISED_TRAINING_SOLO,High cloud cover expected in tropical February; pre-event vs post-event comparison needed
ACQ_PET_SENT1_001,PETROPOLIS,Sentinel-1 SAR post-event imagery (Feb 2022),SENTINEL_EVENT_IMAGE,ESA/Copernicus,SPATIAL_EXTENT;TEMPORAL_ANCHOR,true,2022-02-10 to 2022-03-15,Petrópolis slopes and affected areas,RASTER,10 m,EPSG:32723 (UTM 23S),±10 m pixel size; all-weather,G3_TEMPORAL_ALIGNMENT;G4_SPATIAL_ALIGNMENT;G5_SOURCE_STRENGTH,MEDIUM,PUBLIC_DOWNLOAD,true,false,true - SAR surface change detection; not depth-sensitive; slopes complicate interpretation,Query ESA Scihub; VV/VH analysis; note that landslide detection differs from flood inundation,DETECTION_SOLO;PREDICTION;SUPERVISED_TRAINING_SOLO,SAR may capture slope change or water on surface; valley flooding requires visual interpretation
ACQ_PET_UFRJ_001,PETROPOLIS,UFRJ - Precipitation and hydrological analysis (if available),ACADEMIC_DATASET,Universidade Federal do Rio de Janeiro,TEMPORAL_ANCHOR;LIMITATION_DOCUMENTATION,true,2022-02,Petrópolis weather/hydrology,Varies,Report or data,Institutional source,Methodology-dependent,G3_TEMPORAL_ALIGNMENT;G6_UNCERTAINTY_AND_LIMITATIONS,MEDIUM,FORMAL_REQUEST,false,true,true - precipitation/hydro analysis complements event timing but not spatial extent,Contact UFRJ Meteorology lab; request hourly precipitation data and hydrological modeling,SUPERVISED_TRAINING_SOLO;OPERATIONAL_GROUND_TRUTH_DECLARATION,Provides meteorological/hydrological anchor for event confirmation; supports temporal alignment
ACQ_CUR_DC_001,CURITIBA,Defesa Civil Municipal - Relatório 2022-2023,CIVIL_DEFENSE_RECORD,Defesa Civil Municipal Curitiba,EVENT_CONFIRMATION;SPATIAL_EXTENT,true,2022-2023,Curitiba urban area; focus on alagamento zones,POLYGON,administrative source,SIRGAS2000 (EPSG:4674),Event documentation; areas documented,G1_EVENT_CONFIRMATION;G2_SOURCE_AVAILABILITY;G3_TEMPORAL_ALIGNMENT;G4_SPATIAL_ALIGNMENT;G8_INDEPENDENT_CORROBORATION,HIGH,FORMAL_REQUEST,true,true,false,Contact Defesa Civil Curitiba; request 2022-2023 event documentation,SUPERVISED_TRAINING;PREDICTION;OPERATIONAL_GROUND_TRUTH_DECLARATION,Urban alagamento events; systematic documentation expected
ACQ_CUR_GEOCURITIBA_001,CURITIBA,GeoCuritiba - Municipal GIS layers,MUNICIPAL_GIS_LAYER,Prefeitura de Curitiba; Secretaria de Meio Ambiente,SPATIAL_EXTENT;STRENGTH_METRIC,false,ongoing,Curitiba municipality,RASTER;VECTOR,1:2000 to 1:10000,SIRGAS2000 (EPSG:4674),Metadata in portal; accuracy documented for each layer,G2_SOURCE_AVAILABILITY;G4_SPATIAL_ALIGNMENT;G5_SOURCE_STRENGTH,HIGH,PUBLIC_PORTAL_REVIEW,true,true,false,Navigate GeoCuritiba portal; download rede_pluvial; drenagem; topografia; document all metadata,SUPERVISED_TRAINING;OPERATIONAL_GROUND_TRUTH_DECLARATION,Curitiba is well-mapped; excellent baseline data; not event-specific
ACQ_CUR_CPRM_001,CURITIBA,CPRM/SGB - Geological and hydrogeomorphological context,HYDROGEOMORPHOLOGICAL_CONTEXT,Serviço Geológico do Brasil (CPRM),LIMITATION_DOCUMENTATION,false,ongoing,Curitiba region,POLYGON,Regional maps,SIRGAS2000,Suscetibilidade maps; context only; not event-specific,G2_SOURCE_AVAILABILITY;G6_UNCERTAINTY_AND_LIMITATIONS,LOW,PUBLIC_PORTAL_REVIEW,true,false,true - suscetibilidade is model-based; does not detect specific events,Access RIGeo; download suscetibilidade layers; document that these are modeled probability not observations,DETECTION;OPERATIONAL_GROUND_TRUTH_DECLARATION,Context: explains hydrogeomorphological setting; does not validate specific event observation
ACQ_CUR_SENT2_001,CURITIBA,Sentinel-2 post-event imagery (2022-2023 events),SENTINEL_EVENT_IMAGE,ESA/Copernicus,SPATIAL_EXTENT;TEMPORAL_ANCHOR,true,2022-2023,Curitiba urban area,RASTER,10 m,EPSG:32722 (UTM 22S),±10 m pixel size; urban area good visibility,G3_TEMPORAL_ALIGNMENT;G4_SPATIAL_ALIGNMENT;G5_SOURCE_STRENGTH,HIGH,PUBLIC_DOWNLOAD,true,true,true - satellite measurement; requires human interpretation,Query ESA Scihub; download L2A; temporal alignment with Defesa Civil events,DETECTION_SOLO;PREDICTION;SUPERVISED_TRAINING_SOLO,Urban alagamento should be visible on Sentinel-2; review gate required
ACQ_CUR_GFM_001,CURITIBA,Copernicus GFM - Rapid flood mapping (2022-2023 events),OPERATIONAL_FLOOD_PRODUCT,Copernicus Emergency Management Service (CEMS),SPATIAL_EXTENT;LIMITATION_DOCUMENTATION,true,2022-2023,Curitiba area,RASTER,Variable,Reported,GFM documented uncertainty,G2_SOURCE_AVAILABILITY;G4_SPATIAL_ALIGNMENT;G6_UNCERTAINTY_AND_LIMITATIONS,MEDIUM,PUBLIC_DOWNLOAD,true,false,true - operational product; requires corroboration,Access CEMS portal; download GFM products for 2022-2023 timeframe; document methodology,OPERATIONAL_GROUND_TRUTH_DECLARATION;DETECTION_SOLO,Rapid mapping context; urban flood detection may be accurate but documented uncertainty applies
ACQ_CUR_UFPR_001,CURITIBA,UFPR / PUC-PR - Hydrological and drainage modeling (if available),ACADEMIC_DATASET,Universidade Federal do Paraná; Pontifícia Universidade Católica do Paraná,LIMITATION_DOCUMENTATION;TEMPORAL_ANCHOR,true,2022-2023,Curitiba area,Varies,Report/dataset,Institutional source,Methodology-dependent,G3_TEMPORAL_ALIGNMENT;G6_UNCERTAINTY_AND_LIMITATIONS,MEDIUM,FORMAL_REQUEST,false,true,true - hydrological modeling supports interpretation but not ground observation alone,Contact UFPR/PUC-PR hydrology groups; request models and validation approach,SUPERVISED_TRAINING_SOLO;OPERATIONAL_GROUND_TRUTH_DECLARATION,Provides hydrological mechanistic background; supports temporal and causal interpretation
ACQ_SEN1FLOODS11_REF,METHOD_REFERENCE,Sen1Floods11 dataset,ACADEMIC_DATASET,Bonafilia et al. (2020),LIMITATION_DOCUMENTATION;STRENGTH_METRIC,false,Reference methodology,Global; not REV-P specific,Varies,Global 10 m composite,EPSG:4326,Documented acurácia and validation methodology,G2_SOURCE_AVAILABILITY;G5_SOURCE_STRENGTH;G6_UNCERTAINTY_AND_LIMITATIONS,METHOD_REFERENCE_ONLY,PUBLIC_DOWNLOAD,false,false,true - reference dataset; not applied directly to REV-P patches,Review Sen1Floods11 paper and dataset documentation; understand methodology for future acquisition planning,NONE - REFERENCE ONLY,Methodology reference for anotation scheme and validation; informs REV-P acquisition design
ACQ_KURO_SIWO_REF,METHOD_REFERENCE,Kuro Siwo (West African Sentinel-1 floods),ACADEMIC_DATASET,Knottnerus et al. (2021),LIMITATION_DOCUMENTATION;STRENGTH_METRIC,false,Reference methodology,West Africa; regional transferability,Varies,Sentinel-1 10 m,Regional CRS,Acurácia metrics documented,G2_SOURCE_AVAILABILITY;G5_SOURCE_STRENGTH;G6_UNCERTAINTY_AND_LIMITATIONS,METHOD_REFERENCE_ONLY,PUBLIC_DOWNLOAD,false,false,true - regional reference; not direct application,Review Kuro Siwo documentation; understand SAR-based flood detection limits and strengths,NONE - REFERENCE ONLY,Reference: SAR-only detection methodology; shows limitations of SAR alone without optical corroboration
ACQ_UFO_REF,METHOD_REFERENCE,UFO (Ubiquitous Flood Observatories),ACADEMIC_DATASET,Paprotny et al. (2022) and UFFC consortium,LIMITATION_DOCUMENTATION;STRENGTH_METRIC,false,Reference methodology,Global observatories; not REV-P specific,Varies,Multi-source fusion,Multi-source,Validation methodology documented,G2_SOURCE_AVAILABILITY;G5_SOURCE_STRENGTH;G6_UNCERTAINTY_AND_LIMITATIONS,METHOD_REFERENCE_ONLY,PUBLIC_DOWNLOAD,false,false,true - reference framework; not applied directly,Review UFO literature and framework; understand multi-source ground reference architecture,NONE - REFERENCE ONLY,Reference: shows how datasets combine observational sources; informs REV-P ground reference design
