feature_id,event_window_id,region,station_code,anchor_date,rain_1d,rain_3d,rain_7d,max_1d_in_window,station_count,nearest_station_distance_km,feature_status,review_only,does_not_validate_event,can_create_operational_label,can_train_model,target_created,ground_truth_operational,formal_negative,absence_as_negative,notes
V1SU_Fee63d99e,V1SS_W0001,PET,A624,2022-02-20,14.4,74.2,108.4,49.00,9,54.84,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fe7c8aec3,V1SS_W0001,PET,A625,2022-02-20,0.0,0.0,0.0,0.00,9,45.42,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F211f6dd1,V1SS_W0001,PET,A627,2022-02-20,0.6,6.2,9.6,4.00,9,40.96,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fe079f731,V1SS_W0001,PET,A636,2022-02-20,0.2,109.4,109.8,104.20,9,53.53,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F3122eaec,V1SS_W0001,PET,A652,2022-02-20,0.2,22.8,23.4,20.40,9,53.67,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F9e5c9f27,V1SS_W0002,PET,A603,2022-02-22,0.4,43.8,119.0,48.00,9,14.25,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F8817d973,V1SS_W0002,PET,A610,2022-02-22,3.4,8.6,55.8,22.00,9,12.58,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F39494253,V1SS_W0002,PET,A618,2022-02-22,1.8,10.4,55.8,69.20,9,20.57,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F4e738317,V1SS_W0002,PET,A621,2022-02-22,0.2,14.2,14.6,13.60,9,46.26,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F4542bc6d,V1SS_W0002,PET,A624,2022-02-22,36.6,57.2,119.4,49.00,9,54.84,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F65b6aab6,V1SS_W0002,PET,A625,2022-02-22,0.0,0.0,0.0,0.00,9,45.42,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F1ecc2ebb,V1SS_W0002,PET,A627,2022-02-22,1.0,2.0,10.6,4.00,9,40.96,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F94852fda,V1SS_W0002,PET,A636,2022-02-22,0.2,8.6,118.2,104.20,9,53.53,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fcb5fe882,V1SS_W0002,PET,A652,2022-02-22,0.0,0.2,23.4,20.40,9,53.67,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F330599f2,V1SS_W0003,PET,A603,2022-02-28,0.0,0.0,0.4,42.00,8,14.25,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fff4cecfd,V1SS_W0003,PET,A610,2022-02-28,0.4,1.2,5.4,3.40,8,12.58,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fc9f60051,V1SS_W0003,PET,A618,2022-02-28,0.0,0.8,72.2,69.20,8,20.57,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F6c725a64,V1SS_W0003,PET,A621,2022-02-28,0.0,0.0,0.2,13.60,8,46.26,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F77827515,V1SS_W0003,PET,A624,2022-02-28,0.2,0.4,43.2,36.60,8,54.84,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fda18330a,V1SS_W0003,PET,A625,2022-02-28,0.0,0.0,0.0,0.00,8,45.42,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F31d684ce,V1SS_W0003,PET,A627,2022-02-28,0.0,0.0,1.0,1.00,8,40.96,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F2988d0fc,V1SS_W0003,PET,A636,2022-02-28,0.0,0.0,0.2,8.20,8,53.53,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F0b2df9d8,V1SS_W0004,PET,A603,2022-02-23,0.0,42.4,119.0,48.00,9,14.25,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F1fbbb070,V1SS_W0004,PET,A610,2022-02-23,0.4,4.0,56.0,22.00,9,12.58,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F1409d295,V1SS_W0004,PET,A618,2022-02-23,69.2,71.8,123.8,69.20,9,20.57,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F1ca6eea0,V1SS_W0004,PET,A621,2022-02-23,0.0,13.8,14.2,13.60,9,46.26,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fb845a4d4,V1SS_W0004,PET,A624,2022-02-23,5.8,48.6,122.8,49.00,9,54.84,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fd0717e18,V1SS_W0004,PET,A625,2022-02-23,0.0,0.0,0.0,0.00,9,45.42,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fc31e2813,V1SS_W0004,PET,A627,2022-02-23,0.0,1.4,10.6,4.00,9,40.96,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fdadb2c1d,V1SS_W0004,PET,A636,2022-02-23,0.0,8.4,118.2,104.20,9,53.53,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F5ff3b343,V1SS_W0004,PET,A652,2022-02-23,0.0,0.0,23.4,20.40,9,53.67,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F57b1e851,V1SS_W0005,PET,A603,2022-02-24,0.0,0.4,71.0,48.00,9,14.25,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Faf8b655e,V1SS_W0005,PET,A610,2022-02-24,0.2,4.0,35.4,22.00,9,12.58,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F3da9d995,V1SS_W0005,PET,A618,2022-02-24,0.4,71.4,112.8,69.20,9,20.57,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fdf5ad788,V1SS_W0005,PET,A621,2022-02-24,0.0,0.2,14.2,13.60,9,46.26,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fc9d36287,V1SS_W0005,PET,A624,2022-02-24,0.4,42.8,123.2,49.00,9,54.84,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F327401f5,V1SS_W0005,PET,A625,2022-02-24,0.0,0.0,0.0,0.00,9,45.42,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F4f7e2805,V1SS_W0005,PET,A627,2022-02-24,0.0,1.0,7.6,4.00,9,40.96,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fc0d776b8,V1SS_W0005,PET,A636,2022-02-24,0.0,0.2,117.8,104.20,9,53.53,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fa47d6948,V1SS_W0005,PET,A652,2022-02-24,0.0,0.0,22.8,20.40,9,53.67,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F96b05cfe,V1SS_W0006,PET,A603,2022-03-01,0.0,0.0,0.0,0.40,8,14.25,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F22a1acf6,V1SS_W0006,PET,A610,2022-03-01,0.2,1.0,2.2,3.40,8,12.58,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F86c35b66,V1SS_W0006,PET,A618,2022-03-01,0.0,0.0,70.4,69.20,8,20.57,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fff9395d5,V1SS_W0006,PET,A621,2022-03-01,0.0,0.0,0.0,0.20,8,46.26,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F08808f09,V1SS_W0006,PET,A624,2022-03-01,0.2,0.6,6.8,36.60,8,54.84,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F7e0c8b94,V1SS_W0006,PET,A625,2022-03-01,0.0,0.0,0.0,0.00,8,45.42,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Ff234a2c9,V1SS_W0006,PET,A627,2022-03-01,0.0,0.0,0.0,1.00,8,40.96,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fe30172b3,V1SS_W0006,PET,A636,2022-03-01,0.0,0.0,0.0,0.20,8,53.53,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fe033bc96,V1SS_W0007,PET,A603,2022-03-02,0.0,0.0,0.0,0.00,8,14.25,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F6ac3451a,V1SS_W0007,PET,A610,2022-03-02,0.0,0.6,1.8,0.40,8,12.58,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F3047374c,V1SS_W0007,PET,A618,2022-03-02,0.0,0.0,1.2,69.20,8,20.57,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F6d1d3142,V1SS_W0007,PET,A621,2022-03-02,0.0,0.0,0.0,0.00,8,46.26,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fad48a986,V1SS_W0007,PET,A624,2022-03-02,0.0,0.4,1.0,5.80,8,54.84,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fa2547831,V1SS_W0007,PET,A625,2022-03-02,0.0,0.0,0.0,0.00,8,45.42,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fa0676301,V1SS_W0007,PET,A627,2022-03-02,0.0,0.0,0.0,0.00,8,40.96,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Ff7417706,V1SS_W0007,PET,A636,2022-03-02,0.0,0.0,0.0,0.00,8,53.53,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F4d59e030,V1SS_W0008,PET,A603,2022-02-25,0.0,0.0,64.4,42.00,9,14.25,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fabe1e6ec,V1SS_W0008,PET,A610,2022-02-25,0.2,0.8,13.6,22.00,9,12.58,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F5625dde6,V1SS_W0008,PET,A618,2022-02-25,0.0,69.6,105.2,69.20,9,20.57,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F83b734e6,V1SS_W0008,PET,A621,2022-02-25,0.0,0.0,14.2,13.60,9,46.26,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F0be8a964,V1SS_W0008,PET,A624,2022-02-25,0.0,6.2,74.2,49.00,9,54.84,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F0055bb5c,V1SS_W0008,PET,A625,2022-02-25,0.0,0.0,0.0,0.00,9,45.42,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_Fc5280707,V1SS_W0008,PET,A627,2022-02-25,0.0,0.0,3.6,4.00,9,40.96,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F11539d4c,V1SS_W0008,PET,A636,2022-02-25,0.0,0.0,13.6,104.20,9,53.53,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
V1SU_F5b7d745b,V1SS_W0008,PET,A652,2022-02-25,0.0,0.0,2.4,20.40,9,53.67,ROLLING_CONTEXT_REVIEW_ONLY,true,true,false,false,false,false,false,false,
