canonical_patch_id,raw_patch_id,region,trainability_status,grounding_category,blocking_reason,safe_next_action
CUR_00662,curitiba_00662,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00695,curitiba_00695,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00728,curitiba_00728,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00740,curitiba_00740,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00887,curitiba_00887,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00888,curitiba_00888,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00889,curitiba_00889,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00895,curitiba_00895,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00899,curitiba_00899,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00924,curitiba_00924,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00930,curitiba_00930,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00934,curitiba_00934,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00936,curitiba_00936,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00960,curitiba_00960,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00969,curitiba_00969,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00977,curitiba_00977,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00992,curitiba_00992,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00995,curitiba_00995,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_01,curitiba_00289,Curitiba,BLOCKED_UNRESOLVED_TIF_BINDING,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,Patch geometry exists but final TIF/stack binding remains unresolved.,review_or_exclude_before_training_dataset_manifest
CUR_01012,curitiba_01012,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_01015,curitiba_01015,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_01030,curitiba_01030,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_01040,curitiba_01040,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_01050,curitiba_01050,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_01059,curitiba_01059,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_01065,curitiba_01065,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_01075,curitiba_01075,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_01101,curitiba_01101,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_01145,curitiba_01145,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_01324,curitiba_01324,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_02,curitiba_00365,Curitiba,BLOCKED_UNRESOLVED_TIF_BINDING,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,Patch geometry exists but final TIF/stack binding remains unresolved.,review_or_exclude_before_training_dataset_manifest
CUR_03,curitiba_00367,Curitiba,NOT_TRAINABLE_NO_LABEL,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,No binary labels and no sufficient trainable asset path identified in this read-only audit.,review_or_exclude_before_training_dataset_manifest
CUR_04,curitiba_00740,Curitiba,NOT_TRAINABLE_NO_LABEL,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,No binary labels and no sufficient trainable asset path identified in this read-only audit.,review_or_exclude_before_training_dataset_manifest
CUR_05,curitiba_00887,Curitiba,NOT_TRAINABLE_NO_LABEL,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,No binary labels and no sufficient trainable asset path identified in this read-only audit.,review_or_exclude_before_training_dataset_manifest
CUR_06,curitiba_00891,Curitiba,BLOCKED_UNRESOLVED_TIF_BINDING,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,Patch geometry exists but final TIF/stack binding remains unresolved.,review_or_exclude_before_training_dataset_manifest
CUR_07,curitiba_00896,Curitiba,BLOCKED_UNRESOLVED_TIF_BINDING,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,Patch geometry exists but final TIF/stack binding remains unresolved.,review_or_exclude_before_training_dataset_manifest
CUR_08,curitiba_00899,Curitiba,BLOCKED_NO_GEOMETRY,PLACEHOLDER_ONLY_NO_GEOMETRY,No usable patch geometry in current grounding audit; keep blocked until reviewer-approved geometry exists.,review_or_exclude_before_training_dataset_manifest
CUR_09,curitiba_00926,Curitiba,BLOCKED_NO_GEOMETRY,PLACEHOLDER_ONLY_NO_GEOMETRY,No usable patch geometry in current grounding audit; keep blocked until reviewer-approved geometry exists.,review_or_exclude_before_training_dataset_manifest
CUR_10,curitiba_00929,Curitiba,BLOCKED_NO_GEOMETRY,PLACEHOLDER_ONLY_NO_GEOMETRY,No usable patch geometry in current grounding audit; keep blocked until reviewer-approved geometry exists.,review_or_exclude_before_training_dataset_manifest
CUR_11,curitiba_00930,Curitiba,BLOCKED_NO_GEOMETRY,PLACEHOLDER_ONLY_NO_GEOMETRY,No usable patch geometry in current grounding audit; keep blocked until reviewer-approved geometry exists.,review_or_exclude_before_training_dataset_manifest
CUR_12,curitiba_00931,Curitiba,BLOCKED_NO_GEOMETRY,PLACEHOLDER_ONLY_NO_GEOMETRY,No usable patch geometry in current grounding audit; keep blocked until reviewer-approved geometry exists.,review_or_exclude_before_training_dataset_manifest
CUR_13,curitiba_00934,Curitiba,BLOCKED_NO_GEOMETRY,PLACEHOLDER_ONLY_NO_GEOMETRY,No usable patch geometry in current grounding audit; keep blocked until reviewer-approved geometry exists.,review_or_exclude_before_training_dataset_manifest
CUR_14,curitiba_00969,Curitiba,BLOCKED_NO_GEOMETRY,PLACEHOLDER_ONLY_NO_GEOMETRY,No usable patch geometry in current grounding audit; keep blocked until reviewer-approved geometry exists.,review_or_exclude_before_training_dataset_manifest
PET_00016,petropolis_00016,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00104,petropolis_00104,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00119,petropolis_00119,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00140,petropolis_00140,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00240,petropolis_00240,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00257,petropolis_00257,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00275,petropolis_00275,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00291,petropolis_00291,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00315,petropolis_00315,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00360,petropolis_00360,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00362,petropolis_00362,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00396,petropolis_00396,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00397,petropolis_00397,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00404,petropolis_00404,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00431,petropolis_00431,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00467,petropolis_00467,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00506,petropolis_00506,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00507,petropolis_00507,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00579,petropolis_00579,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00614,petropolis_00614,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00615,petropolis_00615,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00617,petropolis_00617,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00618,petropolis_00618,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00641,petropolis_00641,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00649,petropolis_00649,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00652,petropolis_00652,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00720,petropolis_00720,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00756,petropolis_00756,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00789,petropolis_00789,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00823,petropolis_00823,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00825,petropolis_00825,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00829,petropolis_00829,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00860,petropolis_00860,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00863,petropolis_00863,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00865,petropolis_00865,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
PET_00916,petropolis_00916,Petrópolis,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
